time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.name,.position,.velocity,.effort
2022/11/28/21:57:28.266435,177,1669694248,265447616,,"['panda_joint1', 'panda_joint2', 'panda_joint3', 'panda_joint4', 'panda_joint5', 'panda_joint6', 'panda_joint7', 'panda_finger_joint1', 'panda_finger_joint2']","(-0.09387252000000013, -0.35820096, 0.6316113999999997, -2.6407128, 0.14312662000000032, 2.5713589999999997, 0.41837012000000007, 0.04, 0.04)",(),()
2022/11/28/21:57:28.366252,178,1669694248,365423202,,"['panda_joint1', 'panda_joint2', 'panda_joint3', 'panda_joint4', 'panda_joint5', 'panda_joint6', 'panda_joint7', 'panda_finger_joint1', 'panda_finger_joint2']","(-0.09387252000000013, -0.35820096, 0.6316113999999997, -2.6407128, 0.14312662000000032, 2.5713589999999997, 0.41837012000000007, 0.04, 0.04)",(),()
2022/11/28/21:57:28.466690,179,1669694248,465536832,,"['panda_joint1', 'panda_joint2', 'panda_joint3', 'panda_joint4', 'panda_joint5', 'panda_joint6', 'panda_joint7', 'panda_finger_joint1', 'panda_finger_joint2']","(-0.0938712001917375, -0.3589060799999999, 0.6310319400000002, -2.6407110463474055, 0.1431281466982809, 2.570982, 0.4177906600000001, 0.04, 0.04)",(),()
2022/11/28/21:57:28.566166,180,1669694248,565325975,,"['panda_joint1', 'panda_joint2', 'panda_joint3', 'panda_joint4', 'panda_joint5', 'panda_joint6', 'panda_joint7', 'panda_finger_joint1', 'panda_finger_joint2']","(-0.0886573799999999, -0.37159823999999997, 0.62349896, -2.633508, 0.14892121999999963, 2.551378, 0.4114165999999999, 0.04, 0.04)",(),()
2022/11/28/21:57:28.666301,181,1669694248,665433168,,"['panda_joint1', 'panda_joint2', 'panda_joint3', 'panda_joint4', 'panda_joint5', 'panda_joint6', 'panda_joint7', 'panda_finger_joint1', 'panda_finger_joint2']","(-0.07996547999999981, -0.3941620800000001, 0.6107508400000001, -2.619999, 0.15877203999999967, 2.51594, 0.40040686000000036, 0.04, 0.04)",(),()
2022/11/28/21:57:28.766964,182,1669694248,765408277,,"['panda_joint1', 'panda_joint2', 'panda_joint3', 'panda_joint4', 'panda_joint5', 'panda_joint6', 'panda_joint7', 'panda_finger_joint1', 'panda_finger_joint2']","(-0.06605843999999994, -0.43752696, 0.5852545999999998, -2.5866768, 0.17267908000000043, 2.440917, 0.3818641399999998, 0.04, 0.04)",(),()
2022/11/28/21:57:28.866593,183,1669694248,865421056,,"['panda_joint1', 'panda_joint2', 'panda_joint3', 'panda_joint4', 'panda_joint5', 'panda_joint6', 'panda_joint7', 'panda_finger_joint1', 'panda_finger_joint2']","(-0.05794599999999983, -0.4748983199999999, 0.5620761999999999, -2.5479510000000003, 0.17963260000000014, 2.365894, 0.3679570999999999, 0.04, 0.04)",(),()
2022/11/28/21:57:28.966536,184,1669694248,965360403,,"['panda_joint1', 'panda_joint2', 'panda_joint3', 'panda_joint4', 'panda_joint5', 'panda_joint6', 'panda_joint7', 'panda_finger_joint1', 'panda_finger_joint2']","(-0.05388978, -0.49746216, 0.5470102400000001, -2.51643, 0.18137098000000007, 2.31236, 0.35984466000000026, 0.04, 0.04)",(),()
2022/11/28/21:57:29.066327,185,1669694249,65368890,,"['panda_joint1', 'panda_joint2', 'panda_joint3', 'panda_joint4', 'panda_joint5', 'panda_joint6', 'panda_joint7', 'panda_finger_joint1', 'panda_finger_joint2']","(-0.05215140000000007, -0.5161478399999999, 0.5331031999999998, -2.481907, 0.18172715310288418, 2.259203, 0.35289113999999966, 0.04, 0.04)",(),()
2022/11/28/21:57:29.166448,186,1669694249,165393114,,"['panda_joint1', 'panda_joint2', 'panda_joint3', 'panda_joint4', 'panda_joint5', 'panda_joint6', 'panda_joint7', 'panda_finger_joint1', 'panda_finger_joint2']","(-0.051571940000000094, -0.5390642399999999, 0.5128221000000002, -2.4194654, 0.17789421999999977, 2.174378, 0.3447787, 0.04, 0.04)",(),()
2022/11/28/21:57:29.266139,187,1669694249,265350818,,"['panda_joint1', 'panda_joint2', 'panda_joint3', 'panda_joint4', 'panda_joint5', 'panda_joint6', 'panda_joint7', 'panda_finger_joint1', 'panda_finger_joint2']","(-0.05331032000000002, -0.55069872, 0.4983355999999999, -2.3648290000000003, 0.1732585400000004, 2.1084029999999996, 0.34014301999999974, 0.04, 0.04)",(),()
2022/11/28/21:57:29.366600,188,1669694249,365497112,,"['panda_joint1', 'panda_joint2', 'panda_joint3', 'panda_joint4', 'panda_joint5', 'panda_joint6', 'panda_joint7', 'panda_finger_joint1', 'panda_finger_joint2']","(-0.0562076199999999, -0.55598712, 0.4867463999999999, -2.3134948, 0.16804340000000018, 2.051853, 0.33666626000000033, 0.04, 0.04)",(),()
2022/11/28/21:57:29.466394,189,1669694249,465382575,,"['panda_joint1', 'panda_joint2', 'panda_joint3', 'panda_joint4', 'panda_joint5', 'panda_joint6', 'panda_joint7', 'panda_finger_joint1', 'panda_finger_joint2']","(-0.05794599999999983, -0.5570447999999999, 0.4821107200000001, -2.2861766, 0.16514609999999985, 2.023578, 0.33550733999999993, 0.04, 0.04)",(),()
2022/11/28/21:57:29.566681,190,1669694249,565497636,,"['panda_joint1', 'panda_joint2', 'panda_joint3', 'panda_joint4', 'panda_joint5', 'panda_joint6', 'panda_joint7', 'panda_finger_joint1', 'panda_finger_joint2']","(-0.05910491999999978, -0.5570029053824898, 0.4792134199999998, -2.271767, 0.16340771999999992, 2.0088749999999997, 0.33492787999999996, 0.04, 0.04)",(),()
2022/11/28/21:57:29.666395,191,1669694249,665392398,,"['panda_joint1', 'panda_joint2', 'panda_joint3', 'panda_joint4', 'panda_joint5', 'panda_joint6', 'panda_joint7', 'panda_finger_joint1', 'panda_finger_joint2']","(-0.05910491999999978, -0.5570029053824898, 0.4792134199999998, -2.271767, 0.16340771999999992, 2.0088749999999997, 0.33492787999999996, 0.04, 0.04)",(),()
2022/11/28/21:57:29.766723,192,1669694249,765602111,,"['panda_joint1', 'panda_joint2', 'panda_joint3', 'panda_joint4', 'panda_joint5', 'panda_joint6', 'panda_joint7', 'panda_finger_joint1', 'panda_finger_joint2']","(-0.05910491999999978, -0.5570029053824898, 0.4792134199999998, -2.271767, 0.16340771999999992, 2.0088749999999997, 0.33492787999999996, 0.04, 0.04)",(),()
2022/11/28/21:57:29.866377,193,1669694249,865453481,,"['panda_joint1', 'panda_joint2', 'panda_joint3', 'panda_joint4', 'panda_joint5', 'panda_joint6', 'panda_joint7', 'panda_finger_joint1', 'panda_finger_joint2']","(-0.05910491999999978, -0.5570029053824898, 0.4792134199999998, -2.271767, 0.16340771999999992, 2.0088749999999997, 0.33492787999999996, 0.04, 0.04)",(),()
