time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.name,.position,.velocity,.effort
2022/11/28/22:00:48.166472,632,1669694448,165336132,,"['panda_joint1', 'panda_joint2', 'panda_joint3', 'panda_joint4', 'panda_joint5', 'panda_joint6', 'panda_joint7', 'panda_finger_joint1', 'panda_finger_joint2']","(-0.05968437999999976, -0.5572374394464628, 0.47979287999999976, -2.2714668, 0.16340771999999992, 2.008498, 0.3357021243086021, 0.04, 0.04)",(),()
2022/11/28/22:00:48.266489,633,1669694448,265390157,,"['panda_joint1', 'panda_joint2', 'panda_joint3', 'panda_joint4', 'panda_joint5', 'panda_joint6', 'panda_joint7', 'panda_finger_joint1', 'panda_finger_joint2']","(-0.05968437999999976, -0.5572374394464628, 0.47979287999999976, -2.2714668, 0.16340771999999992, 2.008498, 0.3357021243086021, 0.04, 0.04)",(),()
2022/11/28/22:00:48.366744,634,1669694448,365484476,,"['panda_joint1', 'panda_joint2', 'panda_joint3', 'panda_joint4', 'panda_joint5', 'panda_joint6', 'panda_joint7', 'panda_finger_joint1', 'panda_finger_joint2']","(-0.060843300000000156, -0.5572339352052832, 0.4797951552844982, -2.2714662071011373, 0.16282825999999995, 2.0085009864579297, 0.33570391720361276, 0.04, 0.04)",(),()
2022/11/28/22:00:48.466400,635,1669694448,465456008,,"['panda_joint1', 'panda_joint2', 'panda_joint3', 'panda_joint4', 'panda_joint5', 'panda_joint6', 'panda_joint7', 'panda_finger_joint1', 'panda_finger_joint2']","(-0.06316114000000006, -0.5432949600000001, 0.4884847800000003, -2.2693654, 0.15993095999999962, 2.0201849999999997, 0.3424608600000001, 0.04, 0.04)",(),()
2022/11/28/22:00:48.566573,636,1669694448,565583467,,"['panda_joint1', 'panda_joint2', 'panda_joint3', 'panda_joint4', 'panda_joint5', 'panda_joint6', 'panda_joint7', 'panda_finger_joint1', 'panda_finger_joint2']","(-0.06779681999999987, -0.5210836799999998, 0.5029712800000001, -2.2651626, 0.15529528000000026, 2.038658, 0.35405006000000006, 0.04, 0.04)",(),()
2022/11/28/22:00:48.666464,637,1669694448,665417909,,"['panda_joint1', 'panda_joint2', 'panda_joint3', 'panda_joint4', 'panda_joint5', 'panda_joint6', 'panda_joint7', 'panda_finger_joint1', 'panda_finger_joint2']","(-0.07822709999999988, -0.47666111999999994, 0.5313648199999998, -2.255256, 0.1425471599999999, 2.0737189999999996, 0.3778079200000004, 0.04, 0.04)",(),()
2022/11/28/22:00:48.766391,638,1669694448,765348196,,"['panda_joint1', 'panda_joint2', 'panda_joint3', 'panda_joint4', 'panda_joint5', 'panda_joint6', 'panda_joint7', 'panda_finger_joint1', 'panda_finger_joint2']","(-0.0944519800000001, -0.41461055999999985, 0.5696091800000005, -2.2390452, 0.11936875999999952, 2.117828, 0.41199606000000033, 0.04, 0.04)",(),()
2022/11/28/22:00:48.866422,639,1669694448,865330934,,"['panda_joint1', 'panda_joint2', 'panda_joint3', 'panda_joint4', 'panda_joint5', 'panda_joint6', 'panda_joint7', 'panda_finger_joint1', 'panda_finger_joint2']","(-0.11473307999999971, -0.33598967999999996, 0.6153865199999999, -2.2138284, 0.08054494000000023, 2.166461, 0.45951178000000015, 0.04, 0.04)",(),()
2022/11/28/22:00:48.966482,640,1669694448,965351581,,"['panda_joint1', 'panda_joint2', 'panda_joint3', 'panda_joint4', 'panda_joint5', 'panda_joint6', 'panda_joint7', 'panda_finger_joint1', 'panda_finger_joint2']","(-0.13675256000000013, -0.24749712000000001, 0.6634817000000002, -2.1817070000000003, 0.02375785999999991, 2.211324, 0.5174577800000004, 0.04, 0.04)",(),()
2022/11/28/22:00:49.066625,641,1669694449,65489053,,"['panda_joint1', 'panda_joint2', 'panda_joint3', 'panda_joint4', 'panda_joint5', 'panda_joint6', 'panda_joint7', 'panda_finger_joint1', 'panda_finger_joint2']","(-0.1529774399999999, -0.17028648000000013, 0.70056714, -2.1504862, -0.03592651999999985, 2.242238, 0.5725064799999999, 0.04, 0.04)",(),()
2022/11/28/22:00:49.166319,642,1669694449,165407657,,"['panda_joint1', 'panda_joint2', 'panda_joint3', 'panda_joint4', 'panda_joint5', 'panda_joint6', 'panda_joint7', 'panda_finger_joint1', 'panda_finger_joint2']","(-0.16282825999999995, -0.08496696000000004, 0.73185798, -2.1132614, -0.11183577999999983, 2.266743, 0.6368265399999999, 0.04, 0.04)",(),()
2022/11/28/22:00:49.266548,643,1669694449,265487909,,"['panda_joint1', 'panda_joint2', 'panda_joint3', 'panda_joint4', 'panda_joint5', 'panda_joint6', 'panda_joint7', 'panda_finger_joint1', 'panda_finger_joint2']","(-0.16108988000000002, 0.007051200000000035, 0.753298, -2.0700326000000002, -0.19991369999999975, 2.2829539999999997, 0.7069412000000002, 0.04, 0.04)",(),()
2022/11/28/22:00:49.366364,644,1669694449,365424871,,"['panda_joint1', 'panda_joint2', 'panda_joint3', 'panda_joint4', 'panda_joint5', 'panda_joint6', 'panda_joint7', 'panda_finger_joint1', 'panda_finger_joint2']","(-0.14776230000000012, 0.0853195200000001, 0.7585131400000003, -2.0292054, -0.2769818800000001, 2.289363, 0.76546666, 0.04, 0.04)",(),()
2022/11/28/22:00:49.466412,645,1669694449,465355634,,"['panda_joint1', 'panda_joint2', 'panda_joint3', 'panda_joint4', 'panda_joint5', 'panda_joint6', 'panda_joint7', 'panda_finger_joint1', 'panda_finger_joint2']","(-0.12110713999999989, 0.16817111999999979, 0.7521390800000001, -1.9808732, -0.35578844, 2.290117, 0.8234126600000002, 0.04, 0.04)",(),()
2022/11/28/22:00:49.566231,646,1669694449,565348863,,"['panda_joint1', 'panda_joint2', 'panda_joint3', 'panda_joint4', 'panda_joint5', 'panda_joint6', 'panda_joint7', 'panda_finger_joint1', 'panda_finger_joint2']","(-0.07996547999999981, 0.2601892800000001, 0.7335963600000004, -1.9196324, -0.4369128400000002, 2.2863469999999997, 0.8796202800000001, 0.04, 0.04)",(),()
2022/11/28/22:00:49.666532,647,1669694449,665457725,,"['panda_joint1', 'panda_joint2', 'panda_joint3', 'panda_joint4', 'panda_joint5', 'panda_joint6', 'panda_joint7', 'panda_finger_joint1', 'panda_finger_joint2']","(-0.03708544000000025, 0.3402204000000002, 0.7104179600000005, -1.8592922, -0.49891505999999985, 2.2795609999999997, 0.9201824800000002, 0.04, 0.04)",(),()
2022/11/28/22:00:49.766324,648,1669694449,765379190,,"['panda_joint1', 'panda_joint2', 'panda_joint3', 'panda_joint4', 'panda_joint5', 'panda_joint6', 'panda_joint7', 'panda_finger_joint1', 'panda_finger_joint2']","(-0.0005794599999999761, 0.40438631999999997, 0.6895574, -1.8055564, -0.5423745600000003, 2.272398, 0.94683764, 0.04, 0.04)",(),()
2022/11/28/22:00:49.866311,649,1669694449,865340948,,"['panda_joint1', 'panda_joint2', 'panda_joint3', 'panda_joint4', 'panda_joint5', 'panda_joint6', 'panda_joint7', 'panda_finger_joint1', 'panda_finger_joint2']","(0.026655160000000233, 0.4505716799999999, 0.6739119799999997, -1.7638286, -0.5707681, 2.266743, 0.9624830600000003, 0.04, 0.04)",(),()
2022/11/28/22:00:49.966194,650,1669694449,965325117,,"['panda_joint1', 'panda_joint2', 'panda_joint3', 'panda_joint4', 'panda_joint5', 'panda_joint6', 'panda_joint7', 'panda_finger_joint1', 'panda_finger_joint2']","(0.03998274000000013, 0.4724303999999999, 0.666379, -1.7431148, -0.5829367599999999, 2.263727, 0.96885712, 0.04, 0.04)",(),()
2022/11/28/22:00:50.066390,651,1669694450,65399885,,"['panda_joint1', 'panda_joint2', 'panda_joint3', 'panda_joint4', 'panda_joint5', 'panda_joint6', 'panda_joint7', 'panda_finger_joint1', 'panda_finger_joint2']","(0.049833560000000166, 0.48900071999999994, 0.6611638599999998, -1.7275044000000002, -0.59162866, 2.2614650000000003, 0.9734928000000003, 0.04, 0.04)",(),()
2022/11/28/22:00:50.166279,652,1669694450,165332555,,"['panda_joint1', 'panda_joint2', 'panda_joint3', 'panda_joint4', 'panda_joint5', 'panda_joint6', 'panda_joint7', 'panda_finger_joint1', 'panda_finger_joint2']","(0.05041302000000014, 0.4904109600000002, 0.6605843999999998, -1.7260034, -0.59278758, 2.261088, 0.9740722600000002, 0.04, 0.04)",(),()
2022/11/28/22:00:50.266353,653,1669694450,265344858,,"['panda_joint1', 'panda_joint2', 'panda_joint3', 'panda_joint4', 'panda_joint5', 'panda_joint6', 'panda_joint7', 'panda_finger_joint1', 'panda_finger_joint2']","(0.05041302000000014, 0.4904109600000002, 0.6605843999999998, -1.7260034, -0.59278758, 2.261088, 0.9740722600000002, 0.04, 0.04)",(),()
