time,.data
2022/11/28/22:55:17.326171,"(-16, -15, -8, -2, 0, 2, 15, 11)"
2022/11/28/22:55:17.326364,"(-10, 13, -1, -3, -3, 0, -10, -11)"
2022/11/28/22:55:17.327871,"(29, 14, -3, -1, 0, 1, 5, 19)"
2022/11/28/22:55:17.327884,"(4, -3, 9, 2, 1, 0, 0, -25)"
2022/11/28/22:55:17.340385,"(-22, -14, -7, -1, 1, -1, -9, 7)"
2022/11/28/22:55:17.340430,"(17, 4, -9, -4, -4, 1, 14, 1)"
2022/11/28/22:55:17.349150,"(-42, -15, -2, 2, 2, 0, 6, -14)"
2022/11/28/22:55:17.349188,"(5, -20, -3, -5, -3, -3, -20, -1)"
2022/11/28/22:55:17.363342,"(-15, -7, -12, -1, -2, -2, 6, 3)"
2022/11/28/22:55:17.363351,"(-17, 12, 0, 8, -3, -3, -4, -23)"
2022/11/28/22:55:17.365063,"(6, 17, -4, -11, -4, -2, 9, 34)"
2022/11/28/22:55:17.365075,"(4, -3, 8, -3, -3, 2, -3, -39)"
2022/11/28/22:55:17.386295,"(-35, -14, 12, 12, 2, 0, 3, 28)"
2022/11/28/22:55:17.386307,"(47, -19, -10, -7, 0, 2, 2, -3)"
2022/11/28/22:55:17.388194,"(-36, 23, -10, -5, 0, -2, -4, -13)"
2022/11/28/22:55:17.388246,"(-4, -45, 9, 1, 2, 0, -6, -5)"
2022/11/28/22:55:17.399562,"(13, 21, -1, -9, -2, 2, 0, 4)"
2022/11/28/22:55:17.399603,"(13, 7, 5, 8, 0, -1, 5, -14)"
2022/11/28/22:55:17.409145,"(7, -19, -2, 7, 1, 2, 2, 34)"
2022/11/28/22:55:17.409170,"(-29, 25, -7, -8, -1, -3, 0, 5)"
2022/11/28/22:55:17.423416,"(8, 17, 7, -1, -2, -2, -8, -4)"
2022/11/28/22:55:17.423442,"(-24, -49, -1, -8, -2, -1, 19, 30)"
2022/11/28/22:55:17.425233,"(14, 3, -13, -2, -4, -1, -18, 9)"
2022/11/28/22:55:17.425257,"(-13, -10, 3, 6, 1, -2, -8, -26)"
2022/11/28/22:55:17.446613,"(21, -19, -20, -4, -2, -3, 2, 21)"
2022/11/28/22:55:17.446650,"(-28, 17, 13, 2, 1, -2, -2, -6)"
2022/11/28/22:55:17.448486,"(11, -34, 9, 1, -4, 0, 5, 10)"
2022/11/28/22:55:17.448508,"(11, 30, -18, -12, 0, 1, 7, 0)"
2022/11/28/22:55:17.459789,"(-16, -8, -36, 8, -2, -1, -9, -5)"
2022/11/28/22:55:17.459818,"(8, 29, 64, -6, -1, -3, -2, -9)"
2022/11/28/22:55:17.469442,"(-3, 1, -4, 0, 0, -2, -4, -13)"
2022/11/28/22:55:17.469473,"(24, 60, -43, 29, 0, -1, 1, 5)"
2022/11/28/22:55:17.484498,"(21, -42, 70, -8, 1, 1, 4, 33)"
2022/11/28/22:55:17.484519,"(-45, 7, -27, 15, -2, -1, -8, -35)"
2022/11/28/22:55:17.485942,"(22, -8, 4, -37, -1, -3, -2, 6)"
2022/11/28/22:55:17.485952,"(-7, -26, 23, 23, -2, 0, 2, -3)"
2022/11/28/22:55:17.506366,"(-1, -19, -39, -8, -2, 0, 3, 5)"
2022/11/28/22:55:17.506398,"(40, 0, -8, -21, -2, -2, -2, 17)"
2022/11/28/22:55:17.508488,"(-49, 28, 12, 43, -1, 3, 4, -16)"
2022/11/28/22:55:17.508503,"(28, 61, 35, -14, 3, 2, 5, 5)"
2022/11/28/22:55:17.520415,"(1, -24, 5, -2, 1, -3, -5, -12)"
2022/11/28/22:55:17.520460,"(-10, -51, -4, -5, -3, -2, -6, -2)"
2022/11/28/22:55:17.528921,"(44, -3, -48, -17, -3, -3, 0, -5)"
2022/11/28/22:55:17.528935,"(-25, -22, 18, -6, -3, -2, -3, -2)"
2022/11/28/22:55:17.543802,"(20, 38, -2, 40, -2, 1, -1, 2)"
2022/11/28/22:55:17.543816,"(-12, 5, -32, -32, 1, 0, 2, -3)"
2022/11/28/22:55:17.545736,"(-28, -28, 14, 5, 0, 0, 0, 5)"
2022/11/28/22:55:17.545745,"(-3, -17, -27, -13, -4, -4, -4, -6)"
2022/11/28/22:55:17.566245,"(5, 40, 17, 0, -1, -1, -1, -2)"
2022/11/28/22:55:17.566358,"(-19, -2, -6, 11, 2, -1, -1, 0)"
2022/11/28/22:55:17.568163,"(16, 6, -3, 9, 4, 0, 0, -2)"
2022/11/28/22:55:17.568178,"(14, -3, 28, -4, 0, 2, 4, 7)"
2022/11/28/22:55:17.579457,"(-55, -14, -11, -24, -5, -2, -1, -9)"
2022/11/28/22:55:17.579470,"(6, 2, -48, 11, -2, -2, -4, 7)"
2022/11/28/22:55:17.589442,"(6, 2, 54, 5, 0, -1, -1, -8)"
2022/11/28/22:55:17.589467,"(-22, -14, -35, -12, -3, 0, 3, -1)"
2022/11/28/22:55:17.604157,"(2, -2, -8, -6, -1, 0, -4, -6)"
2022/11/28/22:55:17.604655,"(22, 14, 33, 11, -1, 1, 1, 8)"
2022/11/28/22:55:17.605967,"(-22, -4, -26, -9, -1, -3, 1, -5)"
2022/11/28/22:55:17.605994,"(24, -1, -10, 3, 0, 0, 1, 1)"
2022/11/28/22:55:17.626047,"(22, -1, 20, -5, 1, -1, -1, 2)"
2022/11/28/22:55:17.626070,"(-6, -7, -7, -4, -4, -2, -2, -8)"
2022/11/28/22:55:17.628213,"(-6, -12, -9, -2, -3, 1, -2, -2)"
2022/11/28/22:55:17.628234,"(-5, 5, 17, -8, -4, 0, 2, 0)"
2022/11/28/22:55:17.639517,"(17, 7, -17, 24, 9, -1, -2, -1)"
2022/11/28/22:55:17.639542,"(4, -25, 11, 5, 0, 1, 1, 0)"
2022/11/28/22:55:17.648858,"(-13, 19, 1, -5, -1, -1, -3, -2)"
2022/11/28/22:55:17.648878,"(-2, -2, 9, -3, -8, -4, -6, -4)"
2022/11/28/22:55:17.663851,"(-2, -1, -10, -17, -4, -1, 0, 0)"
2022/11/28/22:55:17.663879,"(3, -11, -20, -12, -3, -1, -3, -4)"
2022/11/28/22:55:17.665792,"(-35, -4, 33, 27, 6, -2, 1, 0)"
2022/11/28/22:55:17.665804,"(31, 3, -22, -13, -2, -1, -4, -4)"
2022/11/28/22:55:17.686315,"(1, -9, -2, 3, 0, 2, 2, -3)"
2022/11/28/22:55:17.686351,"(-17, 8, 16, 1, -9, -5, -2, -3)"
2022/11/28/22:55:17.688177,"(18, -2, -15, -13, -2, -2, -9, -6)"
2022/11/28/22:55:17.688193,"(-9, -3, -7, 0, -4, 3, 17, 7)"
2022/11/28/22:55:17.699640,"(-1, 0, 1, 1, 7, -9, -35, -2)"
2022/11/28/22:55:17.699664,"(-25, 2, -4, -11, -1, 1, 10, -1)"
2022/11/28/22:55:17.708769,"(16, 2, 8, -4, -3, -1, 12, 2)"
2022/11/28/22:55:17.708782,"(-2, -5, -1, 22, 6, 3, 4, 2)"
2022/11/28/22:55:17.723717,"(-12, -3, 3, -8, -5, 3, 1, -10)"
2022/11/28/22:55:17.723766,"(13, 0, -5, -20, -15, 12, -11, 0)"
2022/11/28/22:55:17.725548,"(-2, -4, -11, 8, 0, -27, -4, 5)"
2022/11/28/22:55:17.725561,"(10, 1, 5, 4, 7, 2, -1, -4)"
2022/11/28/22:55:17.746030,"(-32, -3, 4, -5, -3, -1, 12, 8)"
2022/11/28/22:55:17.746138,"(9, -3, -1, 2, -4, -4, -5, -3)"
2022/11/28/22:55:17.747980,"(-20, 7, -1, -4, -1, 8, 3, -5)"
2022/11/28/22:55:17.748013,"(64, 5, -5, 3, -7, -6, -9, 5)"
2022/11/28/22:55:17.759806,"(27, -4, 9, 18, 3, 0, 5, -14)"
2022/11/28/22:55:17.759825,"(-98, -10, 8, 2, 8, 2, 2, 4)"
2022/11/28/22:55:17.768915,"(55, 4, -12, -7, -2, 6, 1, 4)"
