time,.data
2022/11/28/23:10:20.220279,"(2, 7, 1, 14, 22, -3, 0, 3)"
2022/11/28/23:10:20.220598,"(-1, -5, -17, -14, -9, 0, 1, 0)"
2022/11/28/23:10:20.222017,"(0, -2, 7, 4, -17, -5, -3, -2)"
2022/11/28/23:10:20.222040,"(0, 1, -5, -15, 20, 3, -1, -1)"
2022/11/28/23:10:20.234298,"(-2, -7, -20, -2, -3, 0, -3, -1)"
2022/11/28/23:10:20.234308,"(-7, -7, 12, -7, -3, -2, -3, -7)"
2022/11/28/23:10:20.243491,"(1, 10, -20, -4, -22, -4, -3, -3)"
2022/11/28/23:10:20.243505,"(6, -6, 0, 0, 15, 8, 5, 3)"
2022/11/28/23:10:20.258788,"(0, 2, 18, 22, 14, 3, 1, 2)"
2022/11/28/23:10:20.258873,"(-4, 7, 13, 13, 12, -2, 0, -1)"
2022/11/28/23:10:20.261470,"(-1, -3, -5, 0, -10, -1, 0, -1)"
2022/11/28/23:10:20.261489,"(-3, -10, -17, -25, -14, -5, 0, -1)"
2022/11/28/23:10:20.280243,"(-9, 14, 16, 3, 0, -9, 0, -1)"
2022/11/28/23:10:20.280254,"(4, -3, 3, 9, -13, 4, 0, 0)"
2022/11/28/23:10:20.282090,"(0, -4, -2, 14, -10, -1, -3, -1)"
2022/11/28/23:10:20.282110,"(3, -1, -6, 5, 33, 1, -1, 2)"
2022/11/28/23:10:20.294294,"(-3, -5, -3, -17, -4, -1, -5, -4)"
2022/11/28/23:10:20.294314,"(2, -7, -10, -25, -7, 1, -4, 1)"
2022/11/28/23:10:20.303592,"(1, 6, 0, 24, -8, 1, -3, 0)"
2022/11/28/23:10:20.303606,"(-7, -6, -7, -19, -7, -5, -6, -5)"
2022/11/28/23:10:20.318124,"(-1, -7, -9, -8, -2, 0, -3, -3)"
2022/11/28/23:10:20.318156,"(-1, -1, -2, -4, -2, -1, -4, -2)"
2022/11/28/23:10:20.320042,"(4, -9, -8, 3, 8, 10, 2, 0)"
2022/11/28/23:10:20.320056,"(-8, 22, 25, 6, -1, -15, -5, -3)"
2022/11/28/23:10:20.341271,"(1, -5, -3, -9, -7, -4, 1, -2)"
2022/11/28/23:10:20.341289,"(-2, 0, 1, 2, 4, 1, -3, -2)"
2022/11/28/23:10:20.343317,"(1, 2, 6, -3, -10, -4, 0, 1)"
2022/11/28/23:10:20.343343,"(6, -13, -12, -2, 9, 6, 3, 1)"
2022/11/28/23:10:20.354293,"(-3, 5, 1, -7, 1, -7, -2, -5)"
2022/11/28/23:10:20.354306,"(-5, -8, 1, 6, 9, -4, -1, -5)"
2022/11/28/23:10:20.363907,"(8, 9, 5, 20, 20, 5, 4, 4)"
2022/11/28/23:10:20.363931,"(2, 3, 2, -8, -25, -3, 1, 2)"
2022/11/28/23:10:20.378374,"(-1, -1, 4, 5, 6, 0, -1, -1)"
2022/11/28/23:10:20.378398,"(0, -8, -1, 10, 12, 3, 1, 0)"
2022/11/28/23:10:20.380049,"(-5, 6, 1, -15, -8, -6, -2, -3)"
2022/11/28/23:10:20.380059,"(-4, -4, -2, -20, -16, -3, -3, -1)"
2022/11/28/23:10:20.400666,"(0, -1, -1, 15, 13, 1, -2, -1)"
2022/11/28/23:10:20.400693,"(1, -1, -1, 11, -3, -3, -1, -1)"
2022/11/28/23:10:20.402483,"(-1, 2, -1, -2, -2, 0, 2, 1)"
2022/11/28/23:10:20.402501,"(2, -13, -9, -12, 0, 5, -1, -2)"
2022/11/28/23:10:20.414333,"(1, 9, -1, -13, -14, -2, -2, 1)"
2022/11/28/23:10:20.414363,"(-8, 15, 14, 1, 3, -15, -3, -2)"
2022/11/28/23:10:20.423992,"(1, 1, 3, 10, 11, 5, 2, 3)"
2022/11/28/23:10:20.424009,"(-3, -7, -10, 0, 3, 1, -1, -2)"
2022/11/28/23:10:20.438543,"(2, -11, -10, -2, -3, 4, 3, 0)"
2022/11/28/23:10:20.438565,"(0, 3, 5, -7, -9, -2, -1, -1)"
2022/11/28/23:10:20.440907,"(0, 5, 1, -4, 3, -4, -2, -1)"
2022/11/28/23:10:20.440927,"(0, 0, 2, 12, 9, 0, -1, -1)"
2022/11/28/23:10:20.460831,"(-3, -1, -1, 0, -11, -2, -1, -2)"
2022/11/28/23:10:20.461039,"(1, -6, -12, -19, -7, 1, 0, 1)"
2022/11/28/23:10:20.462399,"(-4, -7, -12, -21, -23, 0, -1, -2)"
2022/11/28/23:10:20.462413,"(1, 4, 7, 26, 38, 1, 0, -1)"
2022/11/28/23:10:20.474360,"(-3, 3, 9, 4, 3, -7, -2, 0)"
2022/11/28/23:10:20.474383,"(-2, -4, -1, 8, 10, 2, -1, -1)"
2022/11/28/23:10:20.483680,"(-1, -5, -4, 6, 0, 0, -2, -1)"
2022/11/28/23:10:20.483696,"(0, -3, -11, -17, -16, 1, 0, 0)"
2022/11/28/23:10:20.498427,"(-2, -4, -5, -18, -8, -3, -1, 1)"
2022/11/28/23:10:20.498447,"(-4, 2, 9, 11, 0, -3, -2, -2)"
2022/11/28/23:10:20.500568,"(-5, 4, 1, -7, -7, -11, -5, -4)"
2022/11/28/23:10:20.500583,"(0, 2, -1, 3, 3, 2, 1, -2)"
2022/11/28/23:10:20.521065,"(3, -1, -1, -3, 2, 4, 1, 2)"
2022/11/28/23:10:20.521089,"(-3, -10, -12, -12, -23, -2, -2, -3)"
2022/11/28/23:10:20.522400,"(-1, -5, -3, 4, 21, 0, -3, -2)"
2022/11/28/23:10:20.522412,"(-1, 2, 0, 7, 1, -2, 0, 0)"
2022/11/28/23:10:20.534016,"(0, -2, 0, -1, -2, 2, -1, 0)"
2022/11/28/23:10:20.534047,"(0, -1, -3, 4, 1, -1, -2, -2)"
2022/11/28/23:10:20.543652,"(-2, -1, 1, -2, -7, 0, 0, -3)"
2022/11/28/23:10:20.543677,"(0, -2, 0, 0, -5, -2, 0, 0)"
2022/11/28/23:10:20.558070,"(-3, 0, 3, 1, 7, 3, 0, -1)"
2022/11/28/23:10:20.558091,"(2, 0, -3, -6, -4, 3, 1, 0)"
2022/11/28/23:10:20.560049,"(0, -3, 1, -12, 1, -4, -1, -1)"
2022/11/28/23:10:20.560073,"(1, 0, 5, -1, -14, -3, -3, -2)"
2022/11/28/23:10:20.582463,"(-3, 6, -3, -11, -4, 0, 1, -1)"
2022/11/28/23:10:20.582495,"(-1, -2, 4, 21, 16, -3, 1, 2)"
2022/11/28/23:10:20.584141,"(2, 1, 0, 12, 5, -1, -2, 1)"
2022/11/28/23:10:20.584169,"(-5, -7, -5, -9, -14, -5, -2, -4)"
2022/11/28/23:10:20.595190,"(1, 2, 4, 3, 1, -1, -1, -1)"
2022/11/28/23:10:20.595216,"(2, 0, -5, -11, 4, 4, 2, 2)"
2022/11/28/23:10:20.595973,"(4, 6, 4, 2, -9, 4, 3, 3)"
2022/11/28/23:10:20.595988,"(-4, -2, -1, 3, 16, -3, -4, -3)"
