time,.data
2022/11/28/23:10:20.189510,"(8, 12, 17, -14, 1, 1, -3, 4)"
2022/11/28/23:10:20.189562,"(1, -3, 9, -6, 1, 0, 2, 0)"
2022/11/28/23:10:20.191182,"(-2, -7, -18, -50, -24, -1, 1, 1)"
2022/11/28/23:10:20.191221,"(-6, -12, 4, 21, 6, -4, -6, -4)"
2022/11/28/23:10:20.203746,"(-2, -1, -15, 46, 0, -1, 3, 4)"
2022/11/28/23:10:20.203780,"(3, 10, 17, -16, -9, 2, -3, -3)"
2022/11/28/23:10:20.210302,"(-5, -11, -23, -28, -13, -3, -3, -1)"
2022/11/28/23:10:20.210313,"(7, 5, 17, 53, 11, 2, 2, 4)"
2022/11/28/23:10:20.227510,"(7, 7, -3, -31, -9, -2, 1, -1)"
2022/11/28/23:10:20.227548,"(-3, -5, 2, 13, 29, 0, -5, -4)"
2022/11/28/23:10:20.229172,"(0, -3, -1, -9, -5, -5, -4, 0)"
2022/11/28/23:10:20.229240,"(2, -3, -2, 14, 2, -3, -1, -3)"
2022/11/28/23:10:20.258600,"(0, -5, -17, -36, -16, 1, 2, 0)"
2022/11/28/23:10:20.258631,"(-3, 1, 1, 2, -7, -2, -5, -4)"
2022/11/28/23:10:20.260861,"(-1, -1, -3, 4, 0, -2, 1, 1)"
2022/11/28/23:10:20.260890,"(4, 2, 18, 6, 9, 3, 0, -1)"
2022/11/28/23:10:20.263305,"(-1, -1, 13, 7, -13, -2, 0, 1)"
2022/11/28/23:10:20.263322,"(-3, -5, -22, -29, 1, -4, -5, -4)"
2022/11/28/23:10:20.269940,"(-6, 2, 3, 0, -9, -1, 2, 1)"
2022/11/28/23:10:20.269945,"(3, 6, 14, 10, -1, 0, 0, -1)"
2022/11/28/23:10:20.287137,"(14, 0, -7, -13, -7, -3, -6, 3)"
2022/11/28/23:10:20.287168,"(-7, -10, -5, -5, -9, -2, -3, -18)"
2022/11/28/23:10:20.288924,"(-17, 6, -12, 4, 0, 1, -3, -5)"
2022/11/28/23:10:20.288935,"(8, -5, 5, 4, -5, 0, 2, 7)"
2022/11/28/23:10:20.310178,"(13, 18, 5, -6, 4, 1, 5, 6)"
2022/11/28/23:10:20.310193,"(-9, -39, -11, 6, 8, -1, -3, 14)"
2022/11/28/23:10:20.312040,"(3, 54, 25, -4, -2, -2, -5, -11)"
2022/11/28/23:10:20.312054,"(12, -10, -13, 0, 10, -2, 4, 10)"
2022/11/28/23:10:20.323909,"(-17, -4, -16, -2, 0, 3, -10, -32)"
2022/11/28/23:10:20.324094,"(10, -11, -1, -3, -14, -4, 4, 20)"
2022/11/28/23:10:20.330397,"(-23, -19, -9, 6, 4, -1, 0, -2)"
2022/11/28/23:10:20.330408,"(-7, 20, 34, 14, -1, 0, 2, 7)"
2022/11/28/23:10:20.346950,"(-5, -12, 1, -5, 6, 2, 5, -1)"
2022/11/28/23:10:20.346983,"(16, 8, 5, -20, 8, 0, 2, -12)"
2022/11/28/23:10:20.349276,"(6, -16, -7, 7, 0, -3, 2, 10)"
2022/11/28/23:10:20.349288,"(0, 14, 2, 9, 4, 0, -6, -15)"
2022/11/28/23:10:20.369482,"(0, -18, -20, -25, -10, -4, 0, 2)"
2022/11/28/23:10:20.369509,"(-5, 6, -3, 20, 5, 1, -4, -4)"
2022/11/28/23:10:20.371208,"(23, 12, 25, -2, -6, -1, -1, 3)"
2022/11/28/23:10:20.371233,"(5, -17, -13, -3, -3, 0, 11, -20)"
2022/11/28/23:10:20.383135,"(21, 11, -6, -2, -8, -2, -6, 20)"
2022/11/28/23:10:20.383162,"(-52, 2, -7, -16, 15, -1, -6, -23)"
2022/11/28/23:10:20.392192,"(27, 52, 21, 30, 7, 4, 8, 8)"
2022/11/28/23:10:20.392214,"(-19, -74, -10, 12, 13, -1, -6, -3)"
2022/11/28/23:10:20.407662,"(-12, -19, -1, -12, -4, -1, 10, 16)"
2022/11/28/23:10:20.407782,"(15, 21, 8, -2, -3, 0, -1, 0)"
2022/11/28/23:10:20.409256,"(2, -28, -41, -45, -3, -2, -3, 2)"
2022/11/28/23:10:20.409271,"(11, 27, 21, 3, -5, -3, -6, -1)"
2022/11/28/23:10:20.429888,"(-27, 10, 0, 29, 10, 0, 5, -2)"
2022/11/28/23:10:20.430211,"(34, 2, 17, 5, -12, 1, -3, 8)"
2022/11/28/23:10:20.431820,"(-24, -12, -13, -25, -10, -4, -4, -10)"
2022/11/28/23:10:20.431841,"(24, 2, -2, -7, -3, -1, 1, 11)"
2022/11/28/23:10:20.442954,"(-6, -20, -31, -12, -6, -6, -4, -11)"
2022/11/28/23:10:20.442970,"(-59, 11, 28, 13, -3, -1, -4, -10)"
2022/11/28/23:10:20.452665,"(9, -11, -4, -5, -1, 0, -17, -20)"
2022/11/28/23:10:20.452676,"(-3, 1, -12, -2, -4, -3, -3, 8)"
2022/11/28/23:10:20.466874,"(-16, 5, -12, -23, -4, -2, 7, 0)"
2022/11/28/23:10:20.466888,"(8, -1, -14, 8, -4, -2, -5, -2)"
2022/11/28/23:10:20.469008,"(17, -23, 8, 14, 1, 0, 5, 10)"
2022/11/28/23:10:20.469036,"(-12, 14, 21, 14, 5, 2, 2, -2)"
2022/11/28/23:10:20.490124,"(1, 1, 6, 9, -1, 0, -12, -21)"
2022/11/28/23:10:20.490149,"(-10, -4, -15, -20, -8, -2, 4, 0)"
2022/11/28/23:10:20.491891,"(3, -13, -5, 0, -3, -5, -5, -2)"
2022/11/28/23:10:20.491906,"(-9, -3, -19, 7, 1, 0, 0, -5)"
2022/11/28/23:10:20.502817,"(15, 12, 18, -6, 2, 3, 0, 7)"
2022/11/28/23:10:20.502837,"(16, 4, 2, 8, 6, 1, 3, 5)"
2022/11/28/23:10:20.512697,"(3, -1, 4, 3, 4, -1, -8, -16)"
2022/11/28/23:10:20.512724,"(-1, 3, -7, -6, -2, -1, -3, 0)"
2022/11/28/23:10:20.525914,"(3, -2, -12, -11, -3, -1, 6, -1)"
2022/11/28/23:10:20.525924,"(3, -1, 15, 9, -1, 1, -9, -6)"
2022/11/28/23:10:20.534648,"(-10, 1, 0, 4, 3, 1, 6, 8)"
2022/11/28/23:10:20.534662,"(-12, 6, 9, 5, -1, -1, -3, 2)"
