time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.orientation.x,.orientation.y,.orientation.z,.orientation.w,.orientation_covariance,.angular_velocity.x,.angular_velocity.y,.angular_velocity.z,.angular_velocity_covariance,.linear_acceleration.x,.linear_acceleration.y,.linear_acceleration.z,.linear_acceleration_covariance
2022/11/28/23:08:16.969785,8964,1669698496,969468355,RL_myo,0.7191010152645007,0.22228534184292237,-0.6583723180833617,0.005370980253206251,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-23.5,3.125,-8.6875,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.9931640625,0.3466796875,0.01513671875,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2022/11/28/23:08:16.992728,8965,1669698496,992171049,RL_myo,0.7201823966795244,0.2185145334445883,-0.6584734041341392,-0.0012207515834893202,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-44.0625,1.625,-12.25,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",1.04931640625,0.3583984375,-0.0517578125,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2022/11/28/23:08:17.007453,8966,1669698497,7091999,RL_myo,0.7209698953747319,0.21253108497247009,-0.6594445267210128,-0.012878822208268578,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-74.375,-1.4375,-22.75,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",1.14697265625,0.42236328125,-0.16259765625,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2022/11/28/23:08:17.029904,8967,1669698497,29560804,RL_myo,0.7234483541148372,0.20294151501154423,-0.6592394898164479,-0.028991645001649177,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-105.1875,-5.625,-29.625,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",1.1123046875,0.44189453125,-0.220703125,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2022/11/28/23:08:17.052650,8968,1669698497,52117586,RL_myo,0.7255461458616568,0.19006904166006555,-0.6594431361898998,-0.050904810772156285,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-141.125,-13.875,-41.0,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",1.09765625,0.4482421875,-0.34765625,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2022/11/28/23:08:17.067509,8969,1669698497,67195177,RL_myo,0.7266096708952325,0.17486238614992367,-0.6598384840023821,-0.07794040736944242,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-170.1875,-22.4375,-52.5625,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",1.07958984375,0.54736328125,-0.48779296875,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2022/11/28/23:08:17.090095,8970,1669698497,89707612,RL_myo,0.7252257580803246,0.15826547640988736,-0.6608331326995182,-0.11090180124827048,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-196.3125,-39.375,-69.8125,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",1.0390625,0.716796875,-0.54248046875,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2022/11/28/23:08:17.112514,8971,1669698497,112167119,RL_myo,0.7205845699004675,0.13873358693746932,-0.6626008886023611,-0.14990307501910455,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-227.9375,-63.5625,-84.6875,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.927734375,0.7373046875,-0.4755859375,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2022/11/28/23:08:17.128305,8972,1669698497,127666473,RL_myo,0.7117957283661269,0.1204229953752674,-0.6644932339840528,-0.19311624803210647,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-235.9375,-82.8125,-111.375,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.90673828125,0.689453125,-0.4619140625,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2022/11/28/23:08:17.150173,8973,1669698497,149769067,RL_myo,0.6988572148671627,0.10473702888314856,-0.6651655831984575,-0.24121255136725125,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-241.75,-95.5,-146.125,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.9775390625,0.84765625,-0.3447265625,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
