time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.orientation.x,.orientation.y,.orientation.z,.orientation.w,.orientation_covariance,.angular_velocity.x,.angular_velocity.y,.angular_velocity.z,.angular_velocity_covariance,.linear_acceleration.x,.linear_acceleration.y,.linear_acceleration.z,.linear_acceleration_covariance
2022/11/28/22:55:17.544953,11,1669697717,544445514,RL_myo,0.7276269468586212,0.2734475901289005,-0.5614220834833988,-0.283884986984267,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-13.375,92.9375,-220.625,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.9443359375,0.43701171875,0.55712890625,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2022/11/28/22:55:17.567223,12,1669697717,566871881,RL_myo,0.7271739974425855,0.30035447720454617,-0.5369881508729114,-0.3043828038648795,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",12.625,109.625,-217.875,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.87548828125,0.46240234375,0.57080078125,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2022/11/28/22:55:17.588570,13,1669697717,587964534,RL_myo,0.727352422368044,0.32617028993327407,-0.5103734963364591,-0.32263026807396833,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",10.5,123.0625,-207.1875,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.76025390625,0.51025390625,0.60498046875,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2022/11/28/22:55:17.604973,14,1669697717,604338645,RL_myo,0.7281025729995358,0.3490058271784178,-0.48224817078291,-0.33985037525873213,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-2.25,127.375,-195.375,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.62158203125,0.494140625,0.6240234375,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2022/11/28/22:55:17.627474,15,1669697717,626773834,RL_myo,0.7291282568280725,0.3703014510443593,-0.4531264171012565,-0.354859508220192,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-4.875,133.875,-182.3125,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.4765625,0.400390625,0.591796875,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2022/11/28/22:55:17.648266,16,1669697717,647587537,RL_myo,0.7295760668175134,0.39204108400977905,-0.4253062857512285,-0.36487958900988,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",12.375,139.375,-158.9375,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.30810546875,0.40673828125,0.498046875,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2022/11/28/22:55:17.664902,17,1669697717,664448261,RL_myo,0.7289070012504081,0.4139547213599286,-0.3999161507446553,-0.37067930150676004,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",29.625,136.4375,-136.9375,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.1884765625,0.466796875,0.4130859375,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2022/11/28/22:55:17.687257,18,1669697717,686900138,RL_myo,0.7278618333955293,0.43415356150460377,-0.3770843108358558,-0.3735441861954415,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",35.3125,128.1875,-115.625,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.16259765625,0.46142578125,0.40576171875,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2022/11/28/22:55:17.708265,19,1669697717,707545518,RL_myo,0.7263827364323404,0.45251673035117823,-0.3575455902882657,-0.37384205198286574,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",41.3125,116.375,-93.625,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.138671875,0.4482421875,0.3740234375,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2022/11/28/22:55:17.724787,20,1669697717,724331855,RL_myo,0.7256730198302515,0.4682785270533845,-0.34083254628077414,-0.37141225718454707,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",39.9375,107.8125,-66.9375,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.07958984375,0.478515625,0.38037109375,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2022/11/28/22:55:17.747030,21,1669697717,746738672,RL_myo,0.725643526042631,0.4813819909074128,-0.327757232302879,-0.3664533375691779,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",47.4375,92.9375,-37.625,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.0224609375,0.5224609375,0.3466796875,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2022/11/28/22:55:17.767964,22,1669697717,767542839,RL_myo,0.7255791435590421,0.4928542718909207,-0.31890570534118395,-0.35906646210950915,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",49.6875,79.875,-13.9375,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.048828125,0.62890625,0.30712890625,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2022/11/28/22:55:17.784113,23,1669697717,783737897,RL_myo,0.728161234365152,0.5001301889679846,-0.31171160300945777,-0.3499812672128903,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",29.0625,74.6875,9.6875,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.07421875,0.7197265625,0.29296875,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
