time,.data
2022/11/28/23:08:16.972745,"(1, -8, 0, -1, -3, -6, -15, -21)"
2022/11/28/23:08:16.972781,"(-9, 13, 0, 0, -2, -9, -19, -6)"
2022/11/28/23:08:16.974656,"(7, 2, -1, 0, -1, 7, 31, 10)"
2022/11/28/23:08:16.974684,"(-3, -2, -3, -2, 0, 2, -2, 16)"
2022/11/28/23:08:16.995760,"(10, 4, -4, -2, -1, 5, 3, -20)"
2022/11/28/23:08:16.995773,"(-12, -20, 0, 2, 1, -9, -9, 8)"
2022/11/28/23:08:16.998040,"(-9, -18, -2, -1, 0, -7, -13, 13)"
2022/11/28/23:08:16.998074,"(24, -16, -5, -1, -1, -3, 0, -23)"
2022/11/28/23:08:17.009466,"(-8, 11, 2, -4, -8, -12, -13, -2)"
2022/11/28/23:08:17.009620,"(18, -11, -2, 1, 2, 8, -5, -14)"
2022/11/28/23:08:17.016202,"(10, 16, -1, -4, -2, -6, 9, 23)"
2022/11/28/23:08:17.016217,"(1, -2, 1, 2, 3, 4, 3, 11)"
2022/11/28/23:08:17.032926,"(-12, -7, -2, 3, 4, 4, -14, -18)"
2022/11/28/23:08:17.032949,"(3, 9, -1, -7, -11, -15, 10, -12)"
2022/11/28/23:08:17.034421,"(-10, -4, -1, -2, -3, 0, -10, 9)"
2022/11/28/23:08:17.034432,"(-10, 3, -1, -4, -3, 0, 0, -2)"
2022/11/28/23:08:17.055583,"(21, 19, 0, 1, 0, 5, 4, 3)"
2022/11/28/23:08:17.055608,"(-8, -4, -1, 0, -1, -8, -17, -13)"
2022/11/28/23:08:17.057031,"(-5, -8, 0, 5, 3, -1, 0, -15)"
2022/11/28/23:08:17.057046,"(-4, 14, 3, 2, 0, 7, 15, 18)"
2022/11/28/23:08:17.068549,"(-20, -25, -8, -8, -8, -13, -12, 8)"
2022/11/28/23:08:17.068574,"(-1, -1, -2, -1, 2, 5, 2, 9)"
2022/11/28/23:08:17.078155,"(2, 0, -4, 1, 0, -1, -5, -5)"
2022/11/28/23:08:17.078171,"(-14, -10, -1, 1, 0, -8, -10, -19)"
2022/11/28/23:08:17.092818,"(3, 4, 1, -1, 0, 3, 13, 6)"
2022/11/28/23:08:17.092829,"(1, 4, 2, -2, 2, 12, 22, 18)"
2022/11/28/23:08:17.094777,"(-9, -5, 0, -1, -2, -7, -15, -24)"
2022/11/28/23:08:17.094790,"(5, 6, 3, 3, 3, 7, 4, 1)"
2022/11/28/23:08:17.115453,"(1, -1, 1, 1, 1, 3, 12, 17)"
2022/11/28/23:08:17.115548,"(5, 6, -1, -4, -6, -1, 0, 2)"
2022/11/28/23:08:17.117136,"(2, 12, 11, -1, -2, 7, 2, -1)"
2022/11/28/23:08:17.117166,"(2, -3, -10, -8, 11, 0, -2, 3)"
2022/11/28/23:08:17.129089,"(-10, -20, -10, 8, -7, -12, -4, 10)"
2022/11/28/23:08:17.129116,"(-21, -26, -13, -1, -7, -22, -12, -13)"
2022/11/28/23:08:17.137989,"(-9, -8, -15, -9, 8, 10, 3, -7)"
2022/11/28/23:08:17.138011,"(12, 30, 28, 8, 1, 16, 1, 7)"
2022/11/28/23:08:17.153139,"(16, 24, 33, 10, -13, 3, 3, -2)"
2022/11/28/23:08:17.153151,"(4, -18, -36, 1, 19, 0, 7, 6)"
2022/11/28/23:08:17.155006,"(-21, -26, -20, -6, -4, -12, -3, -4)"
2022/11/28/23:08:17.155021,"(-7, -1, 3, -17, -7, -10, -7, -8)"
2022/11/28/23:08:17.175257,"(17, 8, 0, 16, 36, 23, 6, 5)"
2022/11/28/23:08:17.175361,"(10, 0, 3, 19, -4, 3, 4, 7)"
2022/11/28/23:08:17.177172,"(-30, -1, 19, -2, 4, -9, -17, -13)"
2022/11/28/23:08:17.177196,"(2, -6, -8, 2, -17, -9, -6, -6)"
2022/11/28/23:08:17.188816,"(-1, 24, -1, -27, -97, -21, 1, 2)"
2022/11/28/23:08:17.188828,"(18, -11, -22, -17, 22, 1, 5, 7)"
2022/11/28/23:08:17.197959,"(9, -24, -47, -1, 20, 11, 5, 3)"
2022/11/28/23:08:17.197978,"(-3, 1, 29, 11, 23, 13, 3, -2)"
2022/11/28/23:08:17.213793,"(-3, 43, 33, 8, 48, 14, 1, 0)"
