time,.data
2022/11/28/22:58:31.399339,"(-9, -26, -18, -4, -6, -42, -1, -6)"
2022/11/28/22:58:31.399392,"(31, -8, -9, -6, -3, 10, 8, 16)"
2022/11/28/22:58:31.399858,"(-15, 7, -11, 7, 6, 6, 0, 13)"
2022/11/28/22:58:31.399880,"(18, 5, 6, -10, -4, -5, -9, 0)"
2022/11/28/22:58:31.411111,"(-1, -4, -7, 10, 0, -3, -3, -5)"
2022/11/28/22:58:31.411148,"(7, -10, 17, 3, 1, -6, -6, -1)"
2022/11/28/22:58:31.419647,"(-1, 21, -6, -9, -1, 4, 20, 2)"
2022/11/28/22:58:31.419683,"(-11, -38, -13, 1, 0, 8, -9, -3)"
2022/11/28/22:58:31.434302,"(-6, 7, 9, 14, 1, -3, -6, -14)"
2022/11/28/22:58:31.434325,"(41, 21, 13, -12, -4, -1, 1, -3)"
2022/11/28/22:58:31.435037,"(-13, -16, -17, -6, -6, 0, 12, 28)"
2022/11/28/22:58:31.435051,"(-64, 4, -9, -11, -2, -6, 0, -2)"
2022/11/28/22:58:31.458101,"(-5, -17, 8, 1, -1, -2, -9, 15)"
2022/11/28/22:58:31.458119,"(49, -8, -23, 0, -4, -2, 7, 20)"
2022/11/28/22:58:31.458651,"(1, 1, 6, -2, 1, -4, -16, -19)"
2022/11/28/22:58:31.458726,"(6, 10, -2, 1, -5, -1, 13, 28)"
2022/11/28/22:58:31.471036,"(0, -3, 11, -1, 1, -4, 2, -44)"
2022/11/28/22:58:31.471051,"(-16, -7, -6, 6, 1, 13, 4, 0)"
2022/11/28/22:58:31.479496,"(9, -2, 4, 2, 12, -3, -1, -18)"
2022/11/28/22:58:31.479542,"(-5, 16, 0, 0, -5, 7, -4, -36)"
2022/11/28/22:58:31.494946,"(22, 0, -5, -8, -2, -5, -9, 22)"
2022/11/28/22:58:31.494988,"(-25, -6, -8, -5, -1, -8, 8, -5)"
2022/11/28/22:58:31.495584,"(-5, -4, 9, 13, 2, 16, 2, -6)"
2022/11/28/22:58:31.495596,"(0, 0, 0, -11, -6, -14, -5, -12)"
2022/11/28/22:58:31.517910,"(-12, 1, 1, -6, -2, -3, -15, -24)"
2022/11/28/22:58:31.517957,"(-22, -4, -12, 3, 2, -7, 0, 4)"
2022/11/28/22:58:31.518641,"(1, -5, 6, 0, -1, 2, 8, -1)"
2022/11/28/22:58:31.518657,"(14, 10, 12, 8, 2, 0, -7, -9)"
2022/11/28/22:58:31.531065,"(-6, -1, -12, -7, -4, 4, 13, 39)"
2022/11/28/22:58:31.531080,"(-5, 2, 13, -4, -3, -11, -19, -45)"
2022/11/28/22:58:31.539437,"(7, -6, -4, -4, -4, -2, -4, 0)"
2022/11/28/22:58:31.539449,"(12, 9, -4, -7, 2, 0, 8, 17)"
2022/11/28/22:58:31.554510,"(-5, 0, 7, 15, 1, -2, 6, 9)"
2022/11/28/22:58:31.554538,"(-11, -8, -12, -3, 0, -1, 2, 4)"
2022/11/28/22:58:31.555187,"(1, -15, -2, 0, -1, 7, 7, 8)"
2022/11/28/22:58:31.555197,"(5, 22, 5, -1, -9, -6, -12, -14)"
2022/11/28/22:58:31.577964,"(8, 0, -4, -5, 1, 6, -1, 16)"
2022/11/28/22:58:31.577992,"(12, 6, 6, 5, 2, -2, -10, -5)"
2022/11/28/22:58:31.578584,"(6, -4, -1, -3, -6, -9, 7, 13)"
2022/11/28/22:58:31.578599,"(0, -4, -4, -1, 0, 1, -15, 1)"
2022/11/28/22:58:31.591251,"(3, -3, -3, 0, 0, 2, 5, -17)"
