time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.orientation.x,.orientation.y,.orientation.z,.orientation.w,.orientation_covariance,.angular_velocity.x,.angular_velocity.y,.angular_velocity.z,.angular_velocity_covariance,.linear_acceleration.x,.linear_acceleration.y,.linear_acceleration.z,.linear_acceleration_covariance
2022/11/28/23:10:20.204686,12327,1669698620,204351902,RL_myo,0.7724767189681532,0.5146589518283398,-0.08288743555299874,-0.3626783078467736,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-111.5625,494.3125,24.875,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.34716796875,0.34716796875,0.31591796875,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2022/11/28/23:10:20.228352,12328,1669698620,227978467,RL_myo,0.7953736254617932,0.5218056268953166,-0.016663111023794763,-0.30793185023825853,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-145.9375,479.625,97.375,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.52490234375,0.32470703125,0.28515625,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2022/11/28/23:10:20.260908,12329,1669698620,258829593,RL_myo,0.8188874003438316,0.5172370177782968,0.04382536921935533,-0.24488493218391863,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-193.5625,454.4375,159.0625,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.7529296875,0.17431640625,-0.01708984375,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2022/11/28/23:10:20.264254,12330,1669698620,264081239,RL_myo,0.8297332066689884,0.5216808678387409,0.08941879857069795,-0.17718960563190184,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-87.1875,422.0,198.8125,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.12158203125,0.39111328125,0.58544921875,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2022/11/28/23:10:20.288511,12331,1669698620,287662744,RL_myo,0.8327396591604137,0.528526915536907,0.12531074692196215,-0.10724353742907329,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-44.5,389.0625,230.1875,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.0419921875,0.41455078125,0.51953125,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2022/11/28/23:10:20.311061,12332,1669698620,310778141,RL_myo,0.8283385027130609,0.5379225719851305,0.1520441537291456,-0.03711073683955059,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-1.75,352.125,258.9375,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.1796875,0.43310546875,0.6201171875,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2022/11/28/23:10:20.324952,12333,1669698620,324564218,RL_myo,0.8157912656128119,0.5534440258369896,0.16505047379102458,0.030702806330209085,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",59.375,287.5625,294.5,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.23388671875,0.44287109375,0.72802734375,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2022/11/28/23:10:20.348092,12334,1669698620,347669839,RL_myo,0.7980768702986235,0.5684504698348819,0.17896454177556895,0.08893292543212959,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",75.3125,267.875,236.3125,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.4345703125,0.78271484375,0.361328125,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2022/11/28/23:10:20.370416,12335,1669698620,370001316,RL_myo,0.7788748313533675,0.5803716219833713,0.19191085186324353,0.1403317584076326,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",73.875,243.0625,208.75,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.26123046875,0.84716796875,0.42578125,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2022/11/28/23:10:20.391462,12336,1669698620,390981674,RL_myo,0.761167486917826,0.5884856248095237,0.1992342163031102,0.1860495990477573,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",54.6875,199.8125,196.0625,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.328125,0.8212890625,0.44140625,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
