time,.data
2022/11/28/23:03:57.957247,"(16, 1, 5, -7, -3, 3, -4, 2)"
2022/11/28/23:03:57.979550,"(-6, 4, -4, 0, 2, 2, -4, 0)"
2022/11/28/23:03:57.979573,"(-3, -6, 7, 7, -2, 1, 6, -8)"
2022/11/28/23:03:57.980255,"(2, 6, 4, -1, -5, -2, -8, -4)"
2022/11/28/23:03:57.980286,"(7, -7, -2, 1, -1, 0, -9, 2)"
2022/11/28/23:03:57.993788,"(-18, -1, 2, 6, 2, 4, 2, -1)"
2022/11/28/23:03:57.994044,"(20, -4, -7, -10, -2, -4, -3, -2)"
2022/11/28/23:03:57.994515,"(1, -7, -9, -7, -5, -4, -5, -25)"
2022/11/28/23:03:57.994534,"(-17, 13, 9, 2, -2, -2, -1, -1)"
2022/11/28/23:03:58.016871,"(8, -9, -3, -5, -4, -1, -2, 6)"
2022/11/28/23:03:58.016980,"(5, -4, -4, 4, 2, 0, 3, 14)"
2022/11/28/23:03:58.017445,"(-6, 2, 3, -2, 0, -1, -1, -13)"
2022/11/28/23:03:58.017465,"(2, -5, -7, -9, -4, 0, 12, 4)"
2022/11/28/23:03:58.039220,"(-2, 1, -3, -2, -2, -3, -8, -9)"
2022/11/28/23:03:58.039243,"(-1, 4, 10, 5, 0, 0, -3, 0)"
2022/11/28/23:03:58.039838,"(6, 1, 1, -6, -2, -1, -1, 7)"
2022/11/28/23:03:58.039864,"(-25, -4, -4, -7, -2, -3, -3, -11)"
2022/11/28/23:03:58.053383,"(12, 4, -3, 22, 1, -1, -5, -5)"
2022/11/28/23:03:58.053407,"(-9, -5, 6, -7, 2, -2, -2, 12)"
2022/11/28/23:03:58.062042,"(-5, -1, -1, -4, -4, 0, 13, 32)"
2022/11/28/23:03:58.062082,"(11, -12, -3, -7, -3, 0, -3, -28)"
2022/11/28/23:03:58.077180,"(16, 6, -9, -7, -2, -1, 5, 7)"
2022/11/28/23:03:58.077217,"(-45, -37, -2, 7, 0, -1, -3, -11)"
2022/11/28/23:03:58.077728,"(-15, 30, 2, -11, -4, -2, -2, 6)"
2022/11/28/23:03:58.077747,"(2, -2, -6, 8, -1, 1, -4, 15)"
2022/11/28/23:03:58.099725,"(31, 1, 16, -2, 3, 3, -4, 2)"
2022/11/28/23:03:58.099755,"(-10, -3, -22, -5, -2, -1, 2, 5)"
2022/11/28/23:03:58.100163,"(9, -8, -14, -6, -2, -7, -10, -15)"
2022/11/28/23:03:58.100174,"(-1, 3, 33, 20, 0, 0, 3, 33)"
2022/11/28/23:03:58.113309,"(15, 2, 1, -2, -1, 2, -3, 28)"
2022/11/28/23:03:58.113321,"(15, 11, 2, 5, 0, -2, -18, -80)"
2022/11/28/23:03:58.121809,"(2, -12, -6, -10, -3, -3, -2, -29)"
2022/11/28/23:03:58.123366,"(19, -27, -17, -12, -3, -2, -1, 2)"
2022/11/28/23:03:58.136464,"(-27, -18, -5, 0, 0, 2, 10, 27)"
2022/11/28/23:03:58.136486,"(-3, 23, 19, 6, 3, 2, 10, 2)"
2022/11/28/23:03:58.137039,"(66, -4, 10, 14, -2, 0, -8, -32)"
2022/11/28/23:03:58.137060,"(-28, 13, -43, -11, -4, -4, -15, -5)"
2022/11/28/23:03:58.159718,"(-24, -18, 28, -4, 1, -2, -5, -7)"
2022/11/28/23:03:58.159747,"(93, 19, -9, 3, 0, 1, 3, 26)"
2022/11/28/23:03:58.160328,"(-101, -4, 5, -5, -4, -2, 0, -49)"
2022/11/28/23:03:58.160339,"(-47, -11, 5, -3, 2, -1, 0, 0)"
2022/11/28/23:03:58.173106,"(-2, 15, -17, -6, -7, -5, 2, -6)"
2022/11/28/23:03:58.173135,"(-12, 5, -6, 6, 2, 2, -3, 5)"
2022/11/28/23:03:58.182158,"(10, -13, 13, 6, 1, -1, -1, 23)"
2022/11/28/23:03:58.182186,"(0, -8, -7, -3, -3, 1, 6, 17)"
2022/11/28/23:03:58.196635,"(10, 13, -9, -19, -4, -3, 3, -19)"
2022/11/28/23:03:58.196668,"(-7, 4, 6, 6, -1, 0, -10, 8)"
2022/11/28/23:03:58.197291,"(-3, 1, -3, 2, -2, 2, 11, 19)"
