time,.data
2022/11/28/22:55:17.351497,"(0, 3, -3, -9, -6, -4, -2, 1)"
2022/11/28/22:55:17.351522,"(3, 1, -8, -11, -6, 9, 2, 0)"
2022/11/28/22:55:17.354966,"(3, -2, 12, 2, 10, 2, 0, 7)"
2022/11/28/22:55:17.355001,"(-10, -8, 4, 17, 7, -9, -6, -9)"
2022/11/28/22:55:17.374414,"(-4, 6, 2, 11, 4, 1, 1, -4)"
2022/11/28/22:55:17.374446,"(-8, -14, 0, -1, 2, 0, 3, 2)"
2022/11/28/22:55:17.376172,"(-7, -5, -19, -15, -30, -7, -2, 1)"
2022/11/28/22:55:17.376196,"(5, 2, -1, -20, -10, 0, -4, -2)"
2022/11/28/22:55:17.388374,"(2, 2, 12, 11, 25, 9, 0, 1)"
2022/11/28/22:55:17.388411,"(-3, 3, -6, 6, 1, -4, 0, -2)"
2022/11/28/22:55:17.395004,"(4, -15, -34, 1, -7, -4, 1, 5)"
2022/11/28/22:55:17.395030,"(-12, -14, -4, -12, -9, -7, -3, -5)"
2022/11/28/22:55:17.411552,"(-7, -1, 4, 3, -11, -4, -4, -4)"
2022/11/28/22:55:17.411860,"(3, 5, 10, -10, 3, 5, -4, -1)"
2022/11/28/22:55:17.413352,"(6, 17, 29, 14, 18, 13, 0, 1)"
2022/11/28/22:55:17.413364,"(2, -6, -15, 7, -1, 4, -6, -1)"
2022/11/28/22:55:17.434316,"(-2, -4, -19, -3, -8, -3, -5, -2)"
2022/11/28/22:55:17.434348,"(-8, -6, -2, -5, -10, -13, -2, -2)"
2022/11/28/22:55:17.435845,"(2, 1, 5, -1, -9, -4, 7, 2)"
2022/11/28/22:55:17.435866,"(4, 15, 20, -11, -10, 8, 7, -2)"
2022/11/28/22:55:17.448548,"(2, 1, 8, -1, 32, 7, 6, 1)"
2022/11/28/22:55:17.448653,"(0, -13, -5, 15, 23, -10, 7, 4)"
2022/11/28/22:55:17.454746,"(-24, -5, 4, -4, -8, -17, -6, -7)"
2022/11/28/22:55:17.454760,"(3, 2, -3, 3, 5, 7, -4, -4)"
2022/11/28/22:55:17.471604,"(-7, -16, -26, -6, -15, 2, -7, -2)"
2022/11/28/22:55:17.471627,"(0, 7, -1, -9, -19, 1, -11, -3)"
2022/11/28/22:55:17.473609,"(12, 1, 4, -3, 2, 6, -5, 3)"
2022/11/28/22:55:17.473626,"(6, 15, 19, 9, 7, 4, 0, 0)"
2022/11/28/22:55:17.494007,"(-2, -1, -4, 1, -6, -3, 1, -3)"
2022/11/28/22:55:17.494021,"(4, -5, -13, -5, -1, 3, 1, 4)"
