time,.data
2022/11/28/22:58:31.407566,"(-8, -9, -3, -17, 1, -6, -2, -5)"
2022/11/28/22:58:31.407600,"(-1, 2, 1, 1, -3, 0, 0, -2)"
2022/11/28/22:58:31.421880,"(4, -3, -12, -9, 2, 3, 4, 4)"
2022/11/28/22:58:31.421910,"(2, 4, 8, 14, 2, -1, -1, -2)"
2022/11/28/22:58:31.428480,"(-2, 3, 4, -2, -8, -7, -3, 2)"
2022/11/28/22:58:31.428504,"(-2, 2, 0, 3, 4, -1, -3, -4)"
2022/11/28/22:58:31.445260,"(-3, -9, -1, -3, 1, 1, -3, -3)"
2022/11/28/22:58:31.445550,"(6, 4, -5, 1, 2, 2, 3, 2)"
2022/11/28/22:58:31.446988,"(2, -2, -1, -1, -1, 0, 0, -1)"
2022/11/28/22:58:31.447011,"(-2, 4, -5, -9, -11, -4, -2, -1)"
2022/11/28/22:58:31.467643,"(-8, -5, 5, -14, 3, 1, -5, -9)"
2022/11/28/22:58:31.467660,"(3, 6, 6, 29, 3, -3, -2, 1)"
2022/11/28/22:58:31.469417,"(-9, -4, -1, 9, -3, -5, 2, -2)"
2022/11/28/22:58:31.469429,"(11, 4, -3, -10, -2, 0, 4, 3)"
2022/11/28/22:58:31.482065,"(-6, -3, -1, -10, -7, -3, -5, -10)"
2022/11/28/22:58:31.482084,"(14, 13, -1, 2, 7, 4, 0, 6)"
2022/11/28/22:58:31.488787,"(-3, -19, -4, -3, -2, 3, 1, 3)"
2022/11/28/22:58:31.488810,"(-4, -2, -1, -6, -5, 0, -4, 0)"
2022/11/28/22:58:31.505275,"(2, 4, 0, -5, -8, -3, 0, 3)"
2022/11/28/22:58:31.505289,"(-8, -4, 1, -5, 7, -1, -4, -7)"
2022/11/28/22:58:31.506854,"(1, -4, 0, -3, -6, 6, -2, -1)"
2022/11/28/22:58:31.506867,"(3, 4, -2, 13, 10, 3, 1, 2)"
2022/11/28/22:58:31.527721,"(-6, -3, -6, 8, 8, -8, 0, 0)"
2022/11/28/22:58:31.528038,"(-2, -2, -12, -18, -10, -1, 0, -1)"
2022/11/28/22:58:31.529691,"(-2, -4, 2, 2, -5, -2, -3, -3)"
