time,.data
2022/11/28/23:08:16.963025,"(-3, 0, -4, -3, -2, -2, 8, -4)"
2022/11/28/23:08:16.963086,"(3, -4, 0, 0, -1, 0, 5, -2)"
2022/11/28/23:08:16.964141,"(-1, -6, -3, -1, 0, 3, -8, 0)"
2022/11/28/23:08:16.964169,"(9, 0, 3, -1, -1, -2, 9, 4)"
2022/11/28/23:08:16.977067,"(23, -1, -2, 0, -1, 1, -2, 2)"
2022/11/28/23:08:16.977082,"(-1, -8, -8, -4, -1, 2, 2, 1)"
2022/11/28/23:08:16.984778,"(-13, 1, -2, 2, 0, -1, -2, 10)"
2022/11/28/23:08:16.984794,"(-21, 1, 6, -2, -2, -4, -5, -16)"
2022/11/28/23:08:17.000428,"(25, -4, -6, -2, -2, 1, 1, 29)"
2022/11/28/23:08:17.000560,"(-14, -12, 2, -1, -1, 1, 12, 3)"
2022/11/28/23:08:17.001125,"(-4, -66, -21, -9, -6, -8, -7, -10)"
2022/11/28/23:08:17.001139,"(-8, 52, -3, 0, -1, 0, 18, 39)"
2022/11/28/23:08:17.023602,"(2, -3, 11, 2, -1, -2, -9, -73)"
2022/11/28/23:08:17.023618,"(29, 8, -6, -4, -1, 0, 2, 33)"
2022/11/28/23:08:17.024067,"(10, 2, 15, 6, 1, -1, 19, 26)"
2022/11/28/23:08:17.024082,"(-10, -20, -5, -3, -3, -5, -41, -4)"
2022/11/28/23:08:17.037140,"(-17, -2, -6, -4, -2, 0, 21, 10)"
2022/11/28/23:08:17.037162,"(8, 11, 4, 4, 1, 1, -24, 0)"
2022/11/28/23:08:17.045502,"(4, 4, -10, -2, 0, 0, 16, 61)"
2022/11/28/23:08:17.045546,"(35, -14, -2, -2, -1, 3, 10, -10)"
2022/11/28/23:08:17.060911,"(-24, 7, -8, -5, -4, -5, -5, -13)"
2022/11/28/23:08:17.060933,"(11, -10, 3, -1, 0, 0, -10, 52)"
2022/11/28/23:08:17.061685,"(-65, 24, -1, -2, -3, -3, -9, -42)"
2022/11/28/23:08:17.061693,"(93, 27, 21, 4, 3, 4, 18, 6)"
2022/11/28/23:08:17.083792,"(-94, -2, -24, -7, -4, -3, -15, 59)"
2022/11/28/23:08:17.083826,"(-27, -32, 28, 5, -2, -2, 21, -42)"
2022/11/28/23:08:17.084169,"(20, 7, 0, 0, 1, 0, -14, 82)"
