time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.name,.position,.velocity,.effort
2022/11/28/21:41:58.966780,32,1669693318,965560913,,"['panda_joint1', 'panda_joint2', 'panda_joint3', 'panda_joint4', 'panda_joint5', 'panda_joint6', 'panda_joint7', 'panda_finger_joint1', 'panda_finger_joint2']","(-6.51287786386189e-05, -0.19743359999999988, 8.241646068242322e-05, -2.5572572, 0.00011730409751959671, 2.6214999999999997, 1.3383906577785196e-05, 0.04, 0.04)",(),()
2022/11/28/21:41:59.066646,33,1669693319,65437555,,"['panda_joint1', 'panda_joint2', 'panda_joint3', 'panda_joint4', 'panda_joint5', 'panda_joint6', 'panda_joint7', 'panda_finger_joint1', 'panda_finger_joint2']","(-6.51287786386189e-05, -0.19743359999999988, 8.241646068242322e-05, -2.5572572, 0.00011730409751959671, 2.6214999999999997, 1.3383906577785196e-05, 0.04, 0.04)",(),()
2022/11/28/21:41:59.166879,34,1669693319,165463447,,"['panda_joint1', 'panda_joint2', 'panda_joint3', 'panda_joint4', 'panda_joint5', 'panda_joint6', 'panda_joint7', 'panda_finger_joint1', 'panda_finger_joint2']","(-6.512901858927581e-05, -0.19778615999999993, 8.241637782790146e-05, -2.5572545762847763, 0.0001173035111036884, 2.621123, 1.3384553606910401e-05, 0.04, 0.04)",(),()
2022/11/28/21:41:59.266397,35,1669693319,265383481,,"['panda_joint1', 'panda_joint2', 'panda_joint3', 'panda_joint4', 'panda_joint5', 'panda_joint6', 'panda_joint7', 'panda_finger_joint1', 'panda_finger_joint2']","(-6.579348680250506e-05, -0.21083088000000005, 8.218693817251399e-05, -2.5500524, 0.00011567961585856377, 2.601142, 1.517629817756295e-05, 0.04, 0.04)",(),()
2022/11/28/21:41:59.366435,36,1669693319,365358591,,"['panda_joint1', 'panda_joint2', 'panda_joint3', 'panda_joint4', 'panda_joint5', 'panda_joint6', 'panda_joint7', 'panda_finger_joint1', 'panda_finger_joint2']","(-6.698968378992004e-05, -0.23409984000000006, 8.17118044464756e-05, -2.5356427999999998, 0.00011279571414478444, 2.563065, 1.8370672178234648e-05, 0.04, 0.04)",(),()
2022/11/28/21:41:59.466600,37,1669693319,465445041,,"['panda_joint1', 'panda_joint2', 'panda_joint3', 'panda_joint4', 'panda_joint5', 'panda_joint6', 'panda_joint7', 'panda_finger_joint1', 'panda_finger_joint2']","(-6.932201462217024e-05, -0.27887496, 8.042640588677356e-05, -2.4996188, 0.00010729608190662186, 2.4820100000000003, 2.4510486291947368e-05, 0.04, 0.04)",(),()
2022/11/28/21:41:59.566468,38,1669693319,565446615,,"['panda_joint1', 'panda_joint2', 'panda_joint3', 'panda_joint4', 'panda_joint5', 'panda_joint6', 'panda_joint7', 'panda_finger_joint1', 'panda_finger_joint2']","(-7.160902724549229e-05, -0.32365007999999995, 7.824806804796922e-05, -2.4461832, 0.0001020149932247417, 2.38399, 3.065205324933596e-05, 0.04, 0.04)",(),()
2022/11/28/21:41:59.666552,39,1669693319,665485620,,"['panda_joint1', 'panda_joint2', 'panda_joint3', 'panda_joint4', 'panda_joint5', 'panda_joint6', 'panda_joint7', 'panda_finger_joint1', 'panda_finger_joint2']","(-7.372296942515251e-05, -0.35538048, 7.622280644330886e-05, -2.3870438, 9.701577517030806e-05, 2.293133, 3.637949953766392e-05, 0.04, 0.04)",(),()
2022/11/28/21:41:59.766395,40,1669693319,765385866,,"['panda_joint1', 'panda_joint2', 'panda_joint3', 'panda_joint4', 'panda_joint5', 'panda_joint6', 'panda_joint7', 'panda_finger_joint1', 'panda_finger_joint2']","(-7.564871515872989e-05, -0.3779443200000001, 7.409082117900806e-05, -2.3188984, 9.240114804287916e-05, 2.2026529999999998, 4.182221918590172e-05, 0.04, 0.04)",(),()
2022/11/28/21:41:59.866510,41,1669693319,865451335,,"['panda_joint1', 'panda_joint2', 'panda_joint3', 'panda_joint4', 'panda_joint5', 'panda_joint6', 'panda_joint7', 'panda_finger_joint1', 'panda_finger_joint2']","(-7.716399990594745e-05, -0.3888736800000001, 7.227632113000645e-05, -2.2528544, 8.871664005930301e-05, 2.125368, 4.635540997287104e-05, 0.04, 0.04)",(),()
