time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.name,.position,.velocity,.effort
2022/11/28/21:46:49.866466,866,1669693609,865438461,,"['panda_joint1', 'panda_joint2', 'panda_joint3', 'panda_joint4', 'panda_joint5', 'panda_joint6', 'panda_joint7', 'panda_finger_joint1', 'panda_finger_joint2']","(9.41601864527911e-05, -0.7855036799999999, 2.8315748227760202e-05, -1.5708804692912868, 5.758700417354702e-05, 1.047148, 4.053948712535203e-05, 0.04, 0.04)",(),()
2022/11/28/21:46:49.966347,867,1669693609,965429306,,"['panda_joint1', 'panda_joint2', 'panda_joint3', 'panda_joint4', 'panda_joint5', 'panda_joint6', 'panda_joint7', 'panda_finger_joint1', 'panda_finger_joint2']","(9.41601864527911e-05, -0.7855036799999999, 2.8315748227760202e-05, -1.5708804692912868, 5.758700417354702e-05, 1.047148, 4.053948712535203e-05, 0.04, 0.04)",(),()
2022/11/28/21:46:50.066391,868,1669693610,65433263,,"['panda_joint1', 'panda_joint2', 'panda_joint3', 'panda_joint4', 'panda_joint5', 'panda_joint6', 'panda_joint7', 'panda_finger_joint1', 'panda_finger_joint2']","(9.416015883494663e-05, -0.7858562399999999, 2.831560260760564e-05, -1.5708895458819854, 5.758681654666394e-05, 1.0471539905673066, 4.053889797687905e-05, 0.04, 0.04)",(),()
2022/11/28/21:46:50.166372,869,1669693610,165415763,,"['panda_joint1', 'panda_joint2', 'panda_joint3', 'panda_joint4', 'panda_joint5', 'panda_joint6', 'panda_joint7', 'panda_finger_joint1', 'panda_finger_joint2']","(9.408422376545659e-05, -0.7943176799999999, 2.7915221014974334e-05, -1.5960168000000001, 5.7070937748869205e-05, 1.063359, 3.8919038386579164e-05, 0.04, 0.04)",(),()
2022/11/28/21:46:50.266485,870,1669693610,265418767,,"['panda_joint1', 'panda_joint2', 'panda_joint3', 'panda_joint4', 'panda_joint5', 'panda_joint6', 'panda_joint7', 'panda_finger_joint1', 'panda_finger_joint2']","(9.396722923699144e-05, -0.80630472, 2.7341575805423268e-05, -1.6320408, 5.633791589397446e-05, 1.087487, 3.6584877737913745e-05, 0.04, 0.04)",(),()
2022/11/28/21:46:50.366580,871,1669693610,365458965,,"['panda_joint1', 'panda_joint2', 'panda_joint3', 'panda_joint4', 'panda_joint5', 'panda_joint6', 'panda_joint7', 'panda_finger_joint1', 'panda_finger_joint2']","(9.3687253144388e-05, -0.82922112, 2.618806684323726e-05, -1.70589, 5.489962847617762e-05, 1.138005, 3.1826482244620854e-05, 0.04, 0.04)",(),()
2022/11/28/21:46:50.466498,872,1669693610,465483427,,"['panda_joint1', 'panda_joint2', 'panda_joint3', 'panda_joint4', 'panda_joint5', 'panda_joint6', 'panda_joint7', 'panda_finger_joint1', 'panda_finger_joint2']","(9.319764384098424e-05, -0.85777848, 2.4624857737347057e-05, -1.8076578, 5.3050411986539903e-05, 1.21152, 2.5253675015507523e-05, 0.04, 0.04)",(),()
2022/11/28/21:46:50.566573,873,1669693610,565448522,,"['panda_joint1', 'panda_joint2', 'panda_joint3', 'panda_joint4', 'panda_joint5', 'panda_joint6', 'panda_joint7', 'panda_finger_joint1', 'panda_finger_joint2']","(9.250141291638635e-05, -0.8831627999999999, 2.293409945836235e-05, -1.9187318, 5.12246270810739e-05, 1.297099, 1.8007734912113216e-05, 0.04, 0.04)",(),()
2022/11/28/21:46:50.666256,874,1669693610,665406703,,"['panda_joint1', 'panda_joint2', 'panda_joint3', 'panda_joint4', 'panda_joint5', 'panda_joint6', 'panda_joint7', 'panda_finger_joint1', 'panda_finger_joint2']","(9.173595168115032e-05, -0.8993805599999999, 2.1444273545750667e-05, -2.0156964, 4.9801582368816894e-05, 1.3777769999999998, 1.1532105096726663e-05, 0.04, 0.04)",(),()
2022/11/28/21:46:50.766436,875,1669693610,765434026,,"['panda_joint1', 'panda_joint2', 'panda_joint3', 'panda_joint4', 'panda_joint5', 'panda_joint6', 'panda_joint7', 'panda_finger_joint1', 'panda_finger_joint2']","(9.080441281405652e-05, -0.90819456, 1.9917376635776904e-05, -2.1120606, 4.856264249899271e-05, 1.4652409999999998, 4.830860483746122e-06, 0.04, 0.04)",(),()
2022/11/28/21:46:50.866414,876,1669693610,865412712,,"['panda_joint1', 'panda_joint2', 'panda_joint3', 'panda_joint4', 'panda_joint5', 'panda_joint6', 'panda_joint7', 'panda_finger_joint1', 'panda_finger_joint2']","(9.000284341340986e-05, -0.90854712, 1.874825085531702e-05, -2.1826076, 4.778560916128544e-05, 1.5357399999999999, -0.0005794599999999761, 0.04, 0.04)",(),()
2022/11/28/21:46:50.966450,877,1669693610,965326070,,"['panda_joint1', 'panda_joint2', 'panda_joint3', 'panda_joint4', 'panda_joint5', 'panda_joint6', 'panda_joint7', 'panda_finger_joint1', 'panda_finger_joint2']","(8.944941396735819e-05, -0.90537408, 1.7989240817191048e-05, -2.2261366000000002, 4.7372524839914245e-05, 1.582488, -3.676751424238503e-06, 0.04, 0.04)",(),()
2022/11/28/21:46:51.066629,878,1669693611,65455198,,"['panda_joint1', 'panda_joint2', 'panda_joint3', 'panda_joint4', 'panda_joint5', 'panda_joint6', 'panda_joint7', 'panda_finger_joint1', 'panda_finger_joint2']","(8.867394266687292e-05, -0.89656008, 1.6960031869199334e-05, -2.282274, 4.693229154457014e-05, 1.647332, -8.208007542717766e-06, 0.04, 0.04)",(),()
2022/11/28/21:46:51.166433,879,1669693611,165524482,,"['panda_joint1', 'panda_joint2', 'panda_joint3', 'panda_joint4', 'panda_joint5', 'panda_joint6', 'panda_joint7', 'panda_finger_joint1', 'panda_finger_joint2']","(8.803198663823223e-05, -0.88563072, 1.611746110929565e-05, -2.3252026, 4.6679843554040386e-05, 1.701243, -1.1892282147661436e-05, 0.04, 0.04)",(),()
2022/11/28/21:46:51.266327,880,1669693611,265423536,,"['panda_joint1', 'panda_joint2', 'panda_joint3', 'panda_joint4', 'panda_joint5', 'panda_joint6', 'panda_joint7', 'panda_finger_joint1', 'panda_finger_joint2']","(8.73576677421811e-05, -0.8697655199999998, 1.5218373864748695e-05, -2.3672306, 4.652211940895306e-05, 1.759301, -1.577865995346607e-05, 0.04, 0.04)",(),()
2022/11/28/21:46:51.366582,881,1669693611,365344047,,"['panda_joint1', 'panda_joint2', 'panda_joint3', 'panda_joint4', 'panda_joint5', 'panda_joint6', 'panda_joint7', 'panda_finger_joint1', 'panda_finger_joint2']","(8.683707466917943e-05, -0.8521375200000001, 1.4298784235402984e-05, -2.402354, 4.673449999014944e-05, 1.811704, -1.9209787588002006e-05, 0.04, 0.04)",(),()
