time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.name,.position,.velocity,.effort
2022/11/28/21:33:33.166638,487,1669692813,165455579,,"['panda_joint1', 'panda_joint2', 'panda_joint3', 'panda_joint4', 'panda_joint5', 'panda_joint6', 'panda_joint7', 'panda_finger_joint1', 'panda_finger_joint2']","(0.05794599999999983, -0.55774992, -0.48037233999999973, -2.2720672, -0.16456663999999988, 2.0088749999999997, -0.33724571999999986, 0.04, 0.04)",(),()
2022/11/28/21:33:33.266363,488,1669692813,265432834,,"['panda_joint1', 'panda_joint2', 'panda_joint3', 'panda_joint4', 'panda_joint5', 'panda_joint6', 'panda_joint7', 'panda_finger_joint1', 'panda_finger_joint2']","(0.05794599999999983, -0.55774992, -0.48037233999999973, -2.2720672, -0.16456663999999988, 2.0088749999999997, -0.33724571999999986, 0.04, 0.04)",(),()
2022/11/28/21:33:33.366668,489,1669692813,365494251,,"['panda_joint1', 'panda_joint2', 'panda_joint3', 'panda_joint4', 'panda_joint5', 'panda_joint6', 'panda_joint7', 'panda_finger_joint1', 'panda_finger_joint2']","(0.05794670839077268, -0.5577466750193414, -0.48095180000000015, -2.2720666500989273, -0.16456597395470873, 2.008877766047744, -0.3378251800000003, 0.04, 0.04)",(),()
2022/11/28/21:33:33.466677,490,1669692813,465492248,,"['panda_joint1', 'panda_joint2', 'panda_joint3', 'panda_joint4', 'panda_joint5', 'panda_joint6', 'panda_joint7', 'panda_finger_joint1', 'panda_finger_joint2']","(0.06084329999999971, -0.5436475199999999, -0.48964370000000024, -2.2699658, -0.16166934, 2.020939, -0.3447787, 0.04, 0.04)",(),()
2022/11/28/21:33:33.566378,491,1669692813,565423727,,"['panda_joint1', 'panda_joint2', 'panda_joint3', 'panda_joint4', 'panda_joint5', 'panda_joint6', 'panda_joint7', 'panda_finger_joint1', 'panda_finger_joint2']","(0.06547897999999996, -0.5217887999999999, -0.5041302000000001, -2.2657629999999997, -0.15703366000000019, 2.0390349999999997, -0.35636789999999996, 0.04, 0.04)",(),()
2022/11/28/21:33:33.666301,492,1669692813,665353059,,"['panda_joint1', 'panda_joint2', 'panda_joint3', 'panda_joint4', 'panda_joint5', 'panda_joint6', 'panda_joint7', 'panda_finger_joint1', 'panda_finger_joint2']","(0.07648871999999995, -0.47736624000000005, -0.5319442799999998, -2.2561566, -0.14428553999999982, 2.074096, -0.3795462999999999, 0.04, 0.04)",(),()
2022/11/28/21:33:33.766594,493,1669692813,765540122,,"['panda_joint1', 'panda_joint2', 'panda_joint3', 'panda_joint4', 'panda_joint5', 'panda_joint6', 'panda_joint7', 'panda_finger_joint1', 'panda_finger_joint2']","(0.0921341400000002, -0.41531567999999996, -0.57018864, -2.2396456000000002, -0.12110713999999989, 2.118205, -0.41373444000000026, 0.04, 0.04)",(),()
2022/11/28/21:33:33.866498,494,1669692813,865463733,,"['panda_joint1', 'panda_joint2', 'panda_joint3', 'panda_joint4', 'panda_joint5', 'panda_joint6', 'panda_joint7', 'panda_finger_joint1', 'panda_finger_joint2']","(0.1124152399999998, -0.33669479999999985, -0.6165454399999999, -2.2144288, -0.08228332000000016, 2.166838, -0.4612501600000001, 0.04, 0.04)",(),()
2022/11/28/21:33:33.966626,495,1669692813,965498208,,"['panda_joint1', 'panda_joint2', 'panda_joint3', 'panda_joint4', 'panda_joint5', 'panda_joint6', 'panda_joint7', 'panda_finger_joint1', 'panda_finger_joint2']","(0.13501417999999976, -0.24784967999999985, -0.6652200800000001, -2.1820072, -0.02549624000000028, 2.212078, -0.5197756199999999, 0.04, 0.04)",(),()
2022/11/28/21:33:34.066371,496,1669692814,65418004,,"['panda_joint1', 'panda_joint2', 'panda_joint3', 'panda_joint4', 'panda_joint5', 'panda_joint6', 'panda_joint7', 'panda_finger_joint1', 'panda_finger_joint2']","(0.15123905999999998, -0.17028648000000013, -0.7017260599999999, -2.1507864, 0.0347675999999999, 2.242992, -0.5742448600000003, 0.04, 0.04)",(),()
