time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.name,.position,.velocity,.effort
2022/11/28/22:14:40.666878,976,1669695280,665419101,,"['panda_joint1', 'panda_joint2', 'panda_joint3', 'panda_joint4', 'panda_joint5', 'panda_joint6', 'panda_joint7', 'panda_finger_joint1', 'panda_finger_joint2']","(0.10902170205930291, -1.05768, 1.0586734199999999, -2.80106850129663, 0.8048699400000001, 2.132531, 0.4766679053528659, 0.04, 0.04)",(),()
2022/11/28/22:14:40.767121,977,1669695280,765467643,,"['panda_joint1', 'panda_joint2', 'panda_joint3', 'panda_joint4', 'panda_joint5', 'panda_joint6', 'panda_joint7', 'panda_finger_joint1', 'panda_finger_joint2']","(0.10902170205930291, -1.05768, 1.0586734199999999, -2.80106850129663, 0.8048699400000001, 2.132531, 0.4766679053528659, 0.04, 0.04)",(),()
2022/11/28/22:14:40.866585,978,1669695280,865442037,,"['panda_joint1', 'panda_joint2', 'panda_joint3', 'panda_joint4', 'panda_joint5', 'panda_joint6', 'panda_joint7', 'panda_finger_joint1', 'panda_finger_joint2']","(0.1090220478859595, -1.05838512, 1.05809396, -2.8010644858315987, 0.8042904800000001, 2.132154, 0.4766682377749545, 0.04, 0.04)",(),()
2022/11/28/22:14:40.966496,979,1669695280,965445518,,"['panda_joint1', 'panda_joint2', 'panda_joint3', 'panda_joint4', 'panda_joint5', 'panda_joint6', 'panda_joint7', 'panda_finger_joint1', 'panda_finger_joint2']","(0.10951794000000037, -1.06684656, 1.0412896199999997, -2.7929142000000002, 0.7909628999999998, 2.114058, 0.4768955800000003, 0.04, 0.04)",(),()
2022/11/28/22:14:41.066469,980,1669695281,65432071,,"['panda_joint1', 'panda_joint2', 'panda_joint3', 'panda_joint4', 'panda_joint5', 'panda_joint6', 'panda_joint7', 'panda_finger_joint1', 'panda_finger_joint2']","(0.11003282605592507, -1.0816540799999999, 1.0111577, -2.7773038, 0.7666255799999999, 2.0816359999999996, 0.47805450000000027, 0.04, 0.04)",(),()
2022/11/28/22:14:41.166820,981,1669695281,165586233,,"['panda_joint1', 'panda_joint2', 'panda_joint3', 'panda_joint4', 'panda_joint5', 'panda_joint6', 'panda_joint7', 'panda_finger_joint1', 'panda_finger_joint2']","(0.10604118000000007, -1.10562816, 0.9537911599999997, -2.7406794000000003, 0.7196893200000001, 2.0183, 0.47863396000000025, 0.04, 0.04)",(),()
2022/11/28/22:14:41.266736,982,1669695281,265477180,,"['panda_joint1', 'panda_joint2', 'panda_joint3', 'panda_joint4', 'panda_joint5', 'panda_joint6', 'panda_joint7', 'panda_finger_joint1', 'panda_finger_joint2']","(0.09792873999999996, -1.12078824, 0.90337814, -2.7007528, 0.67738874, 1.961373, 0.4787061713195548, 0.04, 0.04)",(),()
2022/11/28/22:14:41.366619,983,1669695281,365516662,,"['panda_joint1', 'panda_joint2', 'panda_joint3', 'panda_joint4', 'panda_joint5', 'panda_joint6', 'panda_joint7', 'panda_finger_joint1', 'panda_finger_joint2']","(0.08518062000000048, -1.13030736, 0.8489088999999996, -2.647017, 0.6310319400000002, 1.896906, 0.4774750400000003, 0.04, 0.04)",(),()
2022/11/28/22:14:41.466593,984,1669695281,465416669,,"['panda_joint1', 'panda_joint2', 'panda_joint3', 'panda_joint4', 'panda_joint5', 'panda_joint6', 'panda_joint7', 'panda_finger_joint1', 'panda_finger_joint2']","(0.07301195999999965, -1.1310124799999999, 0.8095056200000004, -2.5995854, 0.5962643399999998, 1.8471419999999998, 0.47631612000000034, 0.04, 0.04)",(),()
2022/11/28/22:14:41.566535,985,1669695281,565460205,,"['panda_joint1', 'panda_joint2', 'panda_joint3', 'panda_joint4', 'panda_joint5', 'panda_joint6', 'panda_joint7', 'panda_finger_joint1', 'panda_finger_joint2']","(0.05562816000000037, -1.12431384, 0.76372828, -2.5332412, 0.5557021399999997, 1.7864449999999998, 0.47515719999999995, 0.04, 0.04)",(),()
