time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.name,.position,.velocity,.effort
2022/11/28/22:16:19.266786,1290,1669695379,265473842,,"['panda_joint1', 'panda_joint2', 'panda_joint3', 'panda_joint4', 'panda_joint5', 'panda_joint6', 'panda_joint7', 'panda_finger_joint1', 'panda_finger_joint2']","(0.10835902000000042, -1.05768, 1.0586734199999999, -2.8004192000000003, 0.8037110200000002, 2.132154, 0.4768284490441213, 0.04, 0.04)",(),()
2022/11/28/22:16:19.366463,1291,1669695379,365443944,,"['panda_joint1', 'panda_joint2', 'panda_joint3', 'panda_joint4', 'panda_joint5', 'panda_joint6', 'panda_joint7', 'panda_finger_joint1', 'panda_finger_joint2']","(0.10835902000000042, -1.05768, 1.0586734199999999, -2.8004192000000003, 0.8037110200000002, 2.132154, 0.4768284490441213, 0.04, 0.04)",(),()
2022/11/28/22:16:19.466777,1292,1669695379,465476036,,"['panda_joint1', 'panda_joint2', 'panda_joint3', 'panda_joint4', 'panda_joint5', 'panda_joint6', 'panda_joint7', 'panda_finger_joint1', 'panda_finger_joint2']","(0.10835970070031901, -1.05838512, 1.05809396, -2.800411240563256, 0.8025520999999998, 2.131777, 0.47682908907092764, 0.04, 0.04)",(),()
2022/11/28/22:16:19.566552,1293,1669695379,565490484,,"['panda_joint1', 'panda_joint2', 'panda_joint3', 'panda_joint4', 'panda_joint5', 'panda_joint6', 'panda_joint7', 'panda_finger_joint1', 'panda_finger_joint2']","(0.10893848000000039, -1.06684656, 1.0412896199999997, -2.7923138, 0.7898039799999999, 2.113681, 0.4774750400000003, 0.04, 0.04)",(),()
2022/11/28/22:16:19.666513,1294,1669695379,665485620,,"['panda_joint1', 'panda_joint2', 'panda_joint3', 'panda_joint4', 'panda_joint5', 'panda_joint6', 'panda_joint7', 'panda_finger_joint1', 'panda_finger_joint2']","(0.10936039636195001, -1.0816540799999999, 1.0111577, -2.7767034, 0.76546666, 2.0812589999999997, 0.47805450000000027, 0.04, 0.04)",(),()
2022/11/28/22:16:19.766367,1295,1669695379,765421390,,"['panda_joint1', 'panda_joint2', 'panda_joint3', 'panda_joint4', 'panda_joint5', 'panda_joint6', 'panda_joint7', 'panda_finger_joint1', 'panda_finger_joint2']","(0.10488226000000012, -1.10562816, 0.9537911599999997, -2.7394786, 0.7185304000000001, 2.017546, 0.47863396000000025, 0.04, 0.04)",(),()
2022/11/28/22:16:19.866737,1296,1669695379,865444660,,"['panda_joint1', 'panda_joint2', 'panda_joint3', 'panda_joint4', 'panda_joint5', 'panda_joint6', 'panda_joint7', 'panda_finger_joint1', 'panda_finger_joint2']","(0.09734928000000043, -1.12078824, 0.90337814, -2.6998522, 0.6762298200000001, 1.9606190000000001, 0.47871233338685126, 0.04, 0.04)",(),()
2022/11/28/22:16:19.966307,1297,1669695379,965358018,,"['panda_joint1', 'panda_joint2', 'panda_joint3', 'panda_joint4', 'panda_joint5', 'panda_joint6', 'panda_joint7', 'panda_finger_joint1', 'panda_finger_joint2']","(0.08460115999999962, -1.1299548, 0.8489088999999996, -2.6461164, 0.6298730200000002, 1.896152, 0.4774750400000003, 0.04, 0.04)",(),()
2022/11/28/22:16:20.066450,1298,1669695380,65368652,,"['panda_joint1', 'panda_joint2', 'panda_joint3', 'panda_joint4', 'panda_joint5', 'panda_joint6', 'panda_joint7', 'panda_finger_joint1', 'panda_finger_joint2']","(0.0718530399999997, -1.13065992, 0.8095056200000004, -2.5983846, 0.5951054199999999, 1.846765, 0.47631612000000034, 0.04, 0.04)",(),()
2022/11/28/22:16:20.166546,1299,1669695380,165437459,,"['panda_joint1', 'panda_joint2', 'panda_joint3', 'panda_joint4', 'panda_joint5', 'panda_joint6', 'panda_joint7', 'panda_finger_joint1', 'panda_finger_joint2']","(0.055048699999999506, -1.12396128, 0.76372828, -2.5323406, 0.5545432200000002, 1.785691, 0.47515719999999995, 0.04, 0.04)",(),()
2022/11/28/22:16:20.266758,1300,1669695380,265463590,,"['panda_joint1', 'panda_joint2', 'panda_joint3', 'panda_joint4', 'panda_joint5', 'panda_joint6', 'panda_joint7', 'panda_finger_joint1', 'panda_finger_joint2']","(0.038823820000000175, -1.11126912, 0.7278017600000002, -2.4680978, 0.5209345399999998, 1.7329109999999999, 0.47457773999999997, 0.04, 0.04)",(),()
2022/11/28/22:16:20.366644,1301,1669695380,365506410,,"['panda_joint1', 'panda_joint2', 'panda_joint3', 'panda_joint4', 'panda_joint5', 'panda_joint6', 'panda_joint7', 'panda_finger_joint1', 'panda_finger_joint2']","(0.027814080000000185, -1.0999872, 0.7057822800000002, -2.4230678, 0.5006534400000002, 1.698604, 0.47399828, 0.04, 0.04)",(),()
2022/11/28/22:16:20.466769,1302,1669695380,465450763,,"['panda_joint1', 'panda_joint2', 'panda_joint3', 'panda_joint4', 'panda_joint5', 'panda_joint6', 'panda_joint7', 'panda_finger_joint1', 'panda_finger_joint2']","(0.023178399999999932, -1.0943462400000001, 0.6976698399999997, -2.4035548, 0.4925409999999997, 1.684278, 0.47451843484310147, 0.04, 0.04)",(),()
2022/11/28/22:16:20.566410,1303,1669695380,565397262,,"['panda_joint1', 'panda_joint2', 'panda_joint3', 'panda_joint4', 'panda_joint5', 'panda_joint6', 'panda_joint7', 'panda_finger_joint1', 'panda_finger_joint2']","(0.022598939999999956, -1.09399368, 0.6970903799999997, -2.402354, 0.4919615399999997, 1.6835239999999998, 0.474519621169955, 0.04, 0.04)",(),()
2022/11/28/22:16:20.666072,1304,1669695380,665327310,,"['panda_joint1', 'panda_joint2', 'panda_joint3', 'panda_joint4', 'panda_joint5', 'panda_joint6', 'panda_joint7', 'panda_finger_joint1', 'panda_finger_joint2']","(0.022598939999999956, -1.09399368, 0.6970903799999997, -2.402354, 0.4919615399999997, 1.6835239999999998, 0.474519621169955, 0.04, 0.04)",(),()
2022/11/28/22:16:20.766429,1305,1669695380,765462636,,"['panda_joint1', 'panda_joint2', 'panda_joint3', 'panda_joint4', 'panda_joint5', 'panda_joint6', 'panda_joint7', 'panda_finger_joint1', 'panda_finger_joint2']","(0.022598939999999956, -1.09399368, 0.6970903799999997, -2.402354, 0.4919615399999997, 1.6835239999999998, 0.474519621169955, 0.04, 0.04)",(),()
