time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.name,.position,.velocity,.effort
2022/11/28/22:14:48.066487,993,1669695288,65447330,,"['panda_joint1', 'panda_joint2', 'panda_joint3', 'panda_joint4', 'panda_joint5', 'panda_joint6', 'panda_joint7', 'panda_finger_joint1', 'panda_finger_joint2']","(0.023178399999999932, -1.0943462400000001, 0.6965109199999997, -2.4032546, 0.4925409999999997, 1.6839009999999999, 0.47469100089004956, 0.04, 0.04)",(),()
2022/11/28/22:14:48.166547,994,1669695288,165450572,,"['panda_joint1', 'panda_joint2', 'panda_joint3', 'panda_joint4', 'panda_joint5', 'panda_joint6', 'panda_joint7', 'panda_finger_joint1', 'panda_finger_joint2']","(0.023178399999999932, -1.0943462400000001, 0.6965109199999997, -2.4032546, 0.4925409999999997, 1.6839009999999999, 0.47469100089004956, 0.04, 0.04)",(),()
2022/11/28/22:14:48.266752,995,1669695288,265568733,,"['panda_joint1', 'panda_joint2', 'panda_joint3', 'panda_joint4', 'panda_joint5', 'panda_joint6', 'panda_joint7', 'panda_finger_joint1', 'panda_finger_joint2']","(0.022598939999999956, -1.0943438158053735, 0.6965181190899105, -2.403855, 0.49254497206607567, 1.683905742545203, 0.4746943619987765, 0.04, 0.04)",(),()
2022/11/28/22:14:48.366468,996,1669695288,365438461,,"['panda_joint1', 'panda_joint2', 'panda_joint3', 'panda_joint4', 'panda_joint5', 'panda_joint6', 'panda_joint7', 'panda_finger_joint1', 'panda_finger_joint2']","(0.020860560000000472, -1.08905784, 0.7127357999999999, -2.403591260960465, 0.5012329000000002, 1.6944569999999999, 0.4821107200000001, 0.04, 0.04)",(),()
2022/11/28/22:14:48.466873,997,1669695288,465542554,,"['panda_joint1', 'panda_joint2', 'panda_joint3', 'panda_joint4', 'panda_joint5', 'panda_joint6', 'panda_joint7', 'panda_finger_joint1', 'panda_finger_joint2']","(0.015645420000000243, -1.07812848, 0.74402664, -2.4035548, 0.5180372400000004, 1.714815, 0.49659721999999995, 0.04, 0.04)",(),()
2022/11/28/22:14:48.566569,998,1669695288,565428733,,"['panda_joint1', 'panda_joint2', 'panda_joint3', 'panda_joint4', 'panda_joint5', 'panda_joint6', 'panda_joint7', 'panda_finger_joint1', 'panda_finger_joint2']","(0.0028972999999998805, -1.05556464, 0.8037110200000002, -2.3996522000000002, 0.54816916, 1.7536459999999998, 0.5226729199999998, 0.04, 0.04)",(),()
2022/11/28/22:14:48.666582,999,1669695288,665553569,,"['panda_joint1', 'panda_joint2', 'panda_joint3', 'panda_joint4', 'panda_joint5', 'panda_joint6', 'panda_joint7', 'panda_finger_joint1', 'panda_finger_joint2']","(-0.020281100000000052, -1.02277656, 0.8854148800000003, -2.3879444000000003, 0.5846751399999999, 1.804541, 0.5568610599999997, 0.04, 0.04)",(),()
2022/11/28/22:14:48.766781,1000,1669695288,765476703,,"['panda_joint1', 'panda_joint2', 'panda_joint3', 'panda_joint4', 'panda_joint5', 'panda_joint6', 'panda_joint7', 'panda_finger_joint1', 'panda_finger_joint2']","(-0.060843300000000156, -0.98117448, 0.9879793000000001, -2.3636282, 0.6229195000000001, 1.864861, 0.5968437999999998, 0.04, 0.04)",(),()
2022/11/28/22:14:48.866335,1001,1669695288,865381956,,"['panda_joint1', 'panda_joint2', 'panda_joint3', 'panda_joint4', 'panda_joint5', 'panda_joint6', 'panda_joint7', 'panda_finger_joint1', 'panda_finger_joint2']","(-0.12110713999999989, -0.93710448, 1.1056096800000002, -2.3252026, 0.6582665600000004, 1.9270660000000002, 0.6379854599999999, 0.04, 0.04)",(),()
2022/11/28/22:14:48.966538,1002,1669695288,965434789,,"['panda_joint1', 'panda_joint2', 'panda_joint3', 'panda_joint4', 'panda_joint5', 'panda_joint6', 'panda_joint7', 'panda_finger_joint1', 'panda_finger_joint2']","(-0.18832449999999978, -0.9043164, 1.2139687000000001, -2.2816736, 0.6843422599999998, 1.976453, 0.6727530599999998, 0.04, 0.04)",(),()
2022/11/28/22:14:49.066757,1003,1669695289,65461158,,"['panda_joint1', 'panda_joint2', 'panda_joint3', 'panda_joint4', 'panda_joint5', 'panda_joint6', 'panda_joint7', 'panda_finger_joint1', 'panda_finger_joint2']","(-0.2555418599999997, -0.88422048, 1.3084206799999998, -2.2381446, 0.7040439000000003, 2.0133989999999997, 0.69998768, 0.04, 0.04)",(),()
2022/11/28/22:14:49.166732,1004,1669695289,165507555,,"['panda_joint1', 'panda_joint2', 'panda_joint3', 'panda_joint4', 'panda_joint5', 'panda_joint6', 'panda_joint7', 'panda_finger_joint1', 'panda_finger_joint2']","(-0.3129084, -0.87540648, 1.3825915600000003, -2.2003194, 0.7191098600000001, 2.037904, 0.7191098600000001, 0.04, 0.04)",(),()
2022/11/28/22:14:49.266341,1005,1669695289,265372753,,"['panda_joint1', 'panda_joint2', 'panda_joint3', 'panda_joint4', 'panda_joint5', 'panda_joint6', 'panda_joint7', 'panda_finger_joint1', 'panda_finger_joint2']","(-0.35926519999999984, -0.8729385599999999, 1.4387991799999997, -2.1687984, 0.7306990600000001, 2.053738, 0.7330168999999995, 0.04, 0.04)",(),()
