,.orientation.x,.orientation.y,.orientation.z,.orientation.w,.angular_velocity.x,.angular_velocity.y,.angular_velocity.z,.linear_acceleration.x,.linear_acceleration.y,.linear_acceleration.z,.orientation.x,.orientation.y,.orientation.z,.orientation.w,.angular_velocity.x,.angular_velocity.y,.angular_velocity.z,.linear_acceleration.x,.linear_acceleration.y,.linear_acceleration.z,emg_0,emg_1,emg_2,emg_3,emg_4,emg_5,emg_6,emg_7,emg_0,emg_1,emg_2,emg_3,emg_4,emg_5,emg_6,emg_7,.orientation.x,.orientation.y,.orientation.z,.orientation.w,.angular_velocity.x,.angular_velocity.y,.angular_velocity.z,.linear_acceleration.x,.linear_acceleration.y,.linear_acceleration.z,.orientation.x,.orientation.y,.orientation.z,.orientation.w,.angular_velocity.x,.angular_velocity.y,.angular_velocity.z,.linear_acceleration.x,.linear_acceleration.y,.linear_acceleration.z,emg_0,emg_1,emg_2,emg_3,emg_4,emg_5,emg_6,emg_7,emg_0,emg_1,emg_2,emg_3,emg_4,emg_5,emg_6,emg_7,pos_1,pos_2,pos_3,pos_4,pos_5,pos_6,pos_7,pos_1,pos_2,pos_3,pos_4,pos_5,pos_6,pos_7,vel_1,vel_2,vel_3,vel_4,vel_5,vel_6,vel_7,vel_1,vel_2,vel_3,vel_4,vel_5,vel_6,vel_7
0,0.030698161032371996,0.6652498599964476,0.12152848419228807,-0.5907650860423453,0.19842044328100933,0.13589093559966714,-0.3331056992549924,-0.3061643786838909,-0.06445698986385062,-0.08141499188662715,0.2745765818310173,0.5429096311695072,-0.014660606486684491,-0.5326690542964291,0.10108449470004026,0.11175904424714876,-0.47905909066391755,-0.2505842037570339,0.44136247464252776,0.08687567394647083,-0.7543908220967632,-0.9066006947826918,-0.8380151179995494,-0.6937113544655236,-0.45617330403113543,-0.7837414068165445,-0.07825878336741077,-0.6645716706906302,-0.4759915257145776,-0.6047439398000027,-0.7107777527672483,-0.7512806130093589,-0.4928273907451364,-0.6817945398775398,0.20464552888003706,-0.6660520533936118,-0.5468847979641942,-0.47262802305297097,-0.29540444649991415,-0.8138339863129451,-0.13200347790999511,0.33836701075721354,-0.07632766437322167,-0.21982041505952865,0.1271041866416468,-0.2778594229712747,-0.5547764827961541,-0.5773286015494639,-0.42331459491729406,-0.7376103816251411,-0.32234120976991265,0.4825449631958096,-0.08863517938783766,0.18057819296657862,0.34273833313467694,-0.22163791197846733,-0.8717991450399755,-0.7585581804541933,-0.7947524712278285,-0.8669218901764454,-0.9037932089061057,-0.8450099671569629,-0.9663520784894597,-0.9535892890940026,-0.9985473885427005,-0.751477758381637,-0.651759813086663,-0.8791543175468125,-0.9704555454076412,-0.9986740863931346,-0.8994641759721862,-0.9610093692145181,-0.0022409027176106943,-0.457190585808796,-0.0022154167937272666,0.9613447803871296,-0.004356378091891824,-0.9863163272702646,-0.005340424118334393,-0.0028579618107846365,-0.4429813713749179,0.0012233868587512428,0.9994524156420508,-7.661157923427597e-06,-0.9999646452080908,0.00016160186963758085,-0.026048459004618607,-0.2019814634479588,-0.016987119580339608,0.2811716224094434,-0.015107057235255836,-0.2295326803775803,-0.026973634579551337,-0.02778225670174017,-0.15674203792532249,-3.914549212735707e-05,0.34734188412695044,-0.00041008298998079784,-0.26486801985712516,0.001142585215769376
1,-0.10499993884355874,0.7502923521004787,0.18286875152094756,-0.5825969729394086,0.15510638808490637,0.06785662693802401,-0.11106055884852338,-0.5081125953363126,-0.0814481128445328,-0.1936662696704889,0.030698161032371996,0.6652498599964476,0.12152848419228807,-0.5907650860423453,0.19842044328100933,0.13589093559966714,-0.3331056992549924,-0.3061643786838909,-0.06445698986385062,-0.08141499188662715,-0.6433392378671008,-0.8546054617858208,-0.8405111928280873,-0.6847043259132843,-0.5108307498510702,-0.7409228241557397,-0.12800092880735547,-0.49428355845981564,-0.7543908220967632,-0.9066006947826918,-0.8380151179995494,-0.6937113544655236,-0.45617330403113543,-0.7837414068165445,-0.07825878336741077,-0.6645716706906302,-0.5484031644742546,-0.4043268788629826,-0.27921947847267914,-0.8299607775394926,-0.04464116164525879,0.17246075786670875,0.028909719077690223,-0.34899396201307975,0.16758901551551297,-0.14503251524486682,-0.5468847979641942,-0.47262802305297097,-0.29540444649991415,-0.8138339863129451,-0.13200347790999511,0.33836701075721354,-0.07632766437322167,-0.21982041505952865,0.1271041866416468,-0.2778594229712747,-0.9107393682041972,-0.7878640934859622,-0.7928758433219946,-0.8825816661827312,-0.9192917285090705,-0.881852511258384,-0.9639750577725399,-0.940838133212267,-0.8717991450399755,-0.7585581804541933,-0.7947524712278285,-0.8669218901764454,-0.9037932089061057,-0.8450099671569629,-0.9663520784894597,-0.9535892890940026,0.0038547244799622534,-0.6663505893135184,-0.055318633357639944,0.3922817962767322,-0.08190137016105294,-0.7749153468306387,-0.08748342088715197,-0.0022409027176106943,-0.457190585808796,-0.0022154167937272666,0.9613447803871296,-0.004356378091891824,-0.9863163272702646,-0.005340424118334393,-0.010654911015442359,-0.8226675501975507,-0.26175572755904725,-0.6407815284237569,-0.2624820386025326,0.28244670743538414,-0.41862107218012845,-0.026048459004618607,-0.2019814634479588,-0.016987119580339608,0.2811716224094434,-0.015107057235255836,-0.2295326803775803,-0.026973634579551337
2,-0.0937547260460545,0.7619270785884,0.1941967503587252,-0.5714495624751692,0.09359052679406696,-0.005673651218240285,-0.03935827730101943,-0.5923256148968686,0.12199066413184378,-0.17515516089778776,-0.10499993884355874,0.7502923521004787,0.18286875152094756,-0.5825969729394086,0.15510638808490637,0.06785662693802401,-0.11106055884852338,-0.5081125953363126,-0.0814481128445328,-0.1936662696704889,-0.6495751004629291,-0.7463449005316277,-0.8081874416016208,-0.717025859937213,-0.592993980901284,-0.7567595021725426,-0.19884704261819441,-0.47526516509281036,-0.6433392378671008,-0.8546054617858208,-0.8405111928280873,-0.6847043259132843,-0.5108307498510702,-0.7409228241557397,-0.12800092880735547,-0.49428355845981564,-0.5421390761665459,-0.3825143896988986,-0.2684400091238437,-0.8347148178254966,-0.09535473607302812,0.11701044042535833,0.09169218948666938,-0.35721385400376016,0.29246496375736464,-0.0006442503102458419,-0.5484031644742546,-0.4043268788629826,-0.27921947847267914,-0.8299607775394926,-0.04464116164525879,0.17246075786670875,0.028909719077690223,-0.34899396201307975,0.16758901551551297,-0.14503251524486682,-0.8895934916170705,-0.7609046293421408,-0.7909223025631082,-0.832141481383199,-0.9063800507047173,-0.865661952440203,-0.9641768112182377,-0.929372977829547,-0.9107393682041972,-0.7878640934859622,-0.7928758433219946,-0.8825816661827312,-0.9192917285090705,-0.881852511258384,-0.9639750577725399,-0.940838133212267,-0.06125587801108797,-0.9301106652805411,-0.18180710664606145,-0.38365609109607846,-0.2897031723650799,-0.44360541698070044,-0.2270391880827154,0.0038547244799622534,-0.6663505893135184,-0.055318633357639944,0.3922817962767322,-0.08190137016105294,-0.7749153468306387,-0.08748342088715197,-0.21072845084421665,-0.9965037550900269,-0.6234313435911992,-1.0,-0.7026994666145338,0.5928896098758442,-0.7120093760350278,-0.010654911015442359,-0.8226675501975507,-0.26175572755904725,-0.6407815284237569,-0.2624820386025326,0.28244670743538414,-0.41862107218012845
3,-0.09382291648385843,0.7582095184496525,0.19552215852144172,-0.573044396399392,0.12624354019077855,-0.005495097545636464,-0.07245709602852599,-0.5938234218395717,0.11903600519415813,-0.19561051089678644,-0.0937547260460545,0.7619270785884,0.1941967503587252,-0.5714495624751692,0.09359052679406696,-0.005673651218240285,-0.03935827730101943,-0.5923256148968686,0.12199066413184378,-0.17515516089778776,-0.5968869191572488,-0.6339092575102607,-0.7746568642735021,-0.747789834957241,-0.6566841467736506,-0.8457299058038835,-0.24819280919426812,-0.5360770961411953,-0.6495751004629291,-0.7463449005316277,-0.8081874416016208,-0.717025859937213,-0.592993980901284,-0.7567595021725426,-0.19884704261819441,-0.47526516509281036,-0.5341792477824938,-0.37413094269529057,-0.2569312019324961,-0.8378795624267472,-0.0575283220763305,0.1054229266981887,0.09613650687114884,-0.3672170887036381,0.33936597158338255,-0.007388489205678583,-0.5421390761665459,-0.3825143896988986,-0.2684400091238437,-0.8347148178254966,-0.09535473607302812,0.11701044042535833,0.09169218948666938,-0.35721385400376016,0.29246496375736464,-0.0006442503102458419,-0.8804380528497244,-0.7240264721900858,-0.7854030620214076,-0.78753415666588,-0.8895227588182615,-0.832209757968619,-0.9650063306396957,-0.9219119720053418,-0.8895934916170705,-0.7609046293421408,-0.7909223025631082,-0.832141481383199,-0.9063800507047173,-0.865661952440203,-0.9641768112182377,-0.929372977829547,-0.1771240128297345,-0.9992556882534445,-0.31371251543684847,-0.7514748464637577,-0.5065599939749877,-0.20493065412441336,-0.32862835516606786,-0.06125587801108797,-0.9301106652805411,-0.18180710664606145,-0.38365609109607846,-0.2897031723650799,-0.44360541698070044,-0.2270391880827154,-0.35334573601945163,-0.3768865879002704,-0.6501284428761321,-0.291340184295121,-0.7333019153412336,0.3530582190497934,-0.5179940667708421,-0.21072845084421665,-0.9965037550900269,-0.6234313435911992,-1.0,-0.7026994666145338,0.5928896098758442,-0.7120093760350278
4,-0.10761487310896856,0.7698120867959155,0.1970958481577909,-0.5706654901751904,0.11223679741918767,-0.0022167683596748065,-0.0504717774510829,-0.6107298886565733,0.1260881075726692,-0.17262573605388978,-0.09382291648385843,0.7582095184496525,0.19552215852144172,-0.573044396399392,0.12624354019077855,-0.005495097545636464,-0.07245709602852599,-0.5938234218395717,0.11903600519415813,-0.19561051089678644,-0.5938636439904503,-0.5851672395362264,-0.7870347271604946,-0.741564046536503,-0.6742433815175779,-0.9503164831209794,-0.2994304183225146,-0.6231723760263359,-0.5968869191572488,-0.6339092575102607,-0.7746568642735021,-0.747789834957241,-0.6566841467736506,-0.8457299058038835,-0.24819280919426812,-0.5360770961411953,-0.5388853904410846,-0.362428340251576,-0.2695905532541836,-0.8350641328480111,-0.0772540767397992,0.07240533702593523,0.08497636204801674,-0.3626022702614262,0.34815213238971654,0.015004654962011865,-0.5341792477824938,-0.37413094269529057,-0.2569312019324961,-0.8378795624267472,-0.0575283220763305,0.1054229266981887,0.09613650687114884,-0.3672170887036381,0.33936597158338255,-0.007388489205678583,-0.9156280013888457,-0.7207555541422734,-0.79128065949655,-0.777638778507071,-0.8904057816846418,-0.8262119585331942,-0.967024398161026,-0.9311661141458643,-0.8804380528497244,-0.7240264721900858,-0.7854030620214076,-0.78753415666588,-0.8895227588182615,-0.832209757968619,-0.9650063306396957,-0.9219119720053418,-0.26398608708816423,-0.9621799152404689,-0.4338371353721317,-0.9264324116916294,-0.6952429377109954,-0.00040249728965857656,-0.4022472458817486,-0.1771240128297345,-0.9992556882534445,-0.31371251543684847,-0.7514748464637577,-0.5065599939749877,-0.20493065412441336,-0.32862835516606786,-0.2718452094763703,-0.03869985623260137,-0.5920674064113507,0.0435448155567873,-0.6380851505369128,0.26465304550814595,-0.37506154703928873,-0.35334573601945163,-0.3768865879002704,-0.6501284428761321,-0.291340184295121,-0.7333019153412336,0.3530582190497934,-0.5179940667708421
5,-0.0976765251076901,0.7517601640744702,0.19810000146532492,-0.5811153138167872,0.09562514954722852,-0.04863785729886498,-0.05700870954317174,-0.6745596638476434,0.02757134462930888,-0.24204512553060697,-0.10761487310896856,0.7698120867959155,0.1970958481577909,-0.5706654901751904,0.11223679741918767,-0.0022167683596748065,-0.0504717774510829,-0.6107298886565733,0.1260881075726692,-0.17262573605388978,-0.6252842472302906,-0.5790962588088056,-0.826973763015081,-0.7502679110354831,-0.6588649762820696,-0.966127088775956,-0.30885041138230696,-0.6144700763839666,-0.5938636439904503,-0.5851672395362264,-0.7870347271604946,-0.741564046536503,-0.6742433815175779,-0.9503164831209794,-0.2994304183225146,-0.6231723760263359,-0.535951649083271,-0.37273118936411925,-0.2507074270643366,-0.8409934057020292,-0.0912225504948974,0.10250904864537264,0.11167961588294459,-0.32902009780215136,0.2621079390390826,0.05700977362140536,-0.5388853904410846,-0.362428340251576,-0.2695905532541836,-0.8350641328480111,-0.0772540767397992,0.07240533702593523,0.08497636204801674,-0.3626022702614262,0.34815213238971654,0.015004654962011865,-0.8784358996699657,-0.718253045942914,-0.8231219614867964,-0.8253087478091063,-0.9064347038580297,-0.8462392869230435,-0.9575542063095103,-0.9220520229442508,-0.9156280013888457,-0.7207555541422734,-0.79128065949655,-0.777638778507071,-0.8904057816846418,-0.8262119585331942,-0.967024398161026,-0.9311661141458643,-0.2631882538070308,-0.8272773187014542,-0.5816482439861975,-0.9965614997877061,-0.9048018468167169,0.2551697506966155,-0.46610668109406,-0.26398608708816423,-0.9621799152404689,-0.4338371353721317,-0.9264324116916294,-0.6952429377109954,-0.00040249728965857656,-0.4022472458817486,-0.025540524068969124,0.2727620699433158,-0.7285188994715581,0.22556943400547003,-0.7086378055021908,0.3968056153325136,-0.3251891915441944,-0.2718452094763703,-0.03869985623260137,-0.5920674064113507,0.0435448155567873,-0.6380851505369128,0.26465304550814595,-0.37506154703928873
6,-0.17975750087339604,0.733466914292703,0.15782767335126144,-0.6258974716983872,0.18352565505933094,-0.18166745530739106,0.02968840632030266,-0.934636223666362,-0.010062200927012266,-0.2784118755625253,-0.0976765251076901,0.7517601640744702,0.19810000146532492,-0.5811153138167872,0.09562514954722852,-0.04863785729886498,-0.05700870954317174,-0.6745596638476434,0.02757134462930888,-0.24204512553060697,-0.5316043072832946,-0.6407182988728287,-0.8697629619547858,-0.8008643276583212,-0.5947490509687403,-0.8533635902441808,-0.18053645180470412,-0.45977430788443063,-0.6252842472302906,-0.5790962588088056,-0.826973763015081,-0.7502679110354831,-0.6588649762820696,-0.966127088775956,-0.30885041138230696,-0.6144700763839666,-0.5074554277642775,-0.3373659706709528,-0.21393032874722073,-0.8496303497425226,-0.1044364190581453,0.23971942194879658,0.06435673117928924,-0.29904907592483365,0.5506905996278053,0.34596738724719645,-0.535951649083271,-0.37273118936411925,-0.2507074270643366,-0.8409934057020292,-0.0912225504948974,0.10250904864537264,0.11167961588294459,-0.32902009780215136,0.2621079390390826,0.05700977362140536,-0.7745915252269774,-0.7009341672861951,-0.8556293721675252,-0.8974836173683746,-0.9291517976393835,-0.8773982501258324,-0.9316769381345894,-0.8897973275402319,-0.8784358996699657,-0.718253045942914,-0.8231219614867964,-0.8253087478091063,-0.9064347038580297,-0.8462392869230435,-0.9575542063095103,-0.9220520229442508,-0.2105863172324316,-0.7404364366881098,-0.6581513696915429,-0.9930338974910864,-0.9991508583867124,0.38612704664025355,-0.48976943996330574,-0.2631882538070308,-0.8272773187014542,-0.5816482439861975,-0.9965614997877061,-0.9048018468167169,0.2551697506966155,-0.46610668109406,0.12001739086210536,0.11974274822836856,-0.3770810249221835,0.35346722792330865,-0.31927309802784537,0.07417892574976304,-0.11977784132998343,-0.025540524068969124,0.2727620699433158,-0.7285188994715581,0.22556943400547003,-0.7086378055021908,0.3968056153325136,-0.3251891915441944
7,-0.12304449057929379,0.5748746149507917,-0.03409689234877028,-0.6666045322250507,0.14105304487626466,-0.3903937533600106,0.3716839763497106,-0.4312388220572273,0.10420743510547559,-0.025061054797546556,-0.17975750087339604,0.733466914292703,0.15782767335126144,-0.6258974716983872,0.18352565505933094,-0.18166745530739106,0.02968840632030266,-0.934636223666362,-0.010062200927012266,-0.2784118755625253,-0.5051079207182161,-0.798563696457112,-0.9181153625437322,-0.8381524944784285,-0.5126039829518566,-0.7882112258111185,-0.10704055972216286,-0.36995541880705285,-0.5316043072832946,-0.6407182988728287,-0.8697629619547858,-0.8008643276583212,-0.5947490509687403,-0.8533635902441808,-0.18053645180470412,-0.45977430788443063,-0.4627529316728147,-0.26506761482118574,-0.04365297172354432,-0.9016719897652432,-0.25990991089141746,0.43399109650650736,0.00905702415769205,-0.36306390548926015,0.30539388351361274,0.4289009190264568,-0.5074554277642775,-0.3373659706709528,-0.21393032874722073,-0.8496303497425226,-0.1044364190581453,0.23971942194879658,0.06435673117928924,-0.29904907592483365,0.5506905996278053,0.34596738724719645,-0.785415881482924,-0.7033081444277565,-0.8104195684217627,-0.5835901384341449,-0.8588896687708212,-0.8830714875802523,-0.9339223067314893,-0.8916960735214987,-0.7745915252269774,-0.7009341672861951,-0.8556293721675252,-0.8974836173683746,-0.9291517976393835,-0.8773982501258324,-0.9316769381345894,-0.8897973275402319,-0.2105863172324316,-0.7404364366881098,-0.6581513696915429,-0.9930338974910864,-0.9991508583867124,0.38612704664025355,-0.48976943996330574,-0.2105863172324316,-0.7404364366881098,-0.6581513696915429,-0.9930338974910864,-0.9991508583867124,0.38612704664025355,-0.48976943996330574,-0.02778225670174017,-0.15674203792532249,-3.914549212735707e-05,0.34734188412695044,-0.00041008298998079784,-0.26486801985712516,0.001142585215769376,0.12001739086210536,0.11974274822836856,-0.3770810249221835,0.35346722792330865,-0.31927309802784537,0.07417892574976304,-0.11977784132998343
8,0.04784560202913113,0.2629622218093626,-0.3033181944946326,-0.637362523322805,0.11117038529803296,-0.3353964938372032,0.37139678878601995,0.2933938993835777,-0.006260198419171248,-0.09986761498205099,-0.12304449057929379,0.5748746149507917,-0.03409689234877028,-0.6666045322250507,0.14105304487626466,-0.3903937533600106,0.3716839763497106,-0.4312388220572273,0.10420743510547559,-0.025061054797546556,-0.5004723598736968,-0.7591750200579203,-0.9001990905312313,-0.857570598746312,-0.5305982012927547,-0.8343676073858137,-0.15291698814330446,-0.31400013611535804,-0.5051079207182161,-0.798563696457112,-0.9181153625437322,-0.8381524944784285,-0.5126039829518566,-0.7882112258111185,-0.10704055972216286,-0.36995541880705285,-0.36688427883785835,-0.18130627742786803,0.10843567280737076,-0.919494547117069,-0.057634678578983696,0.3946743075048371,0.16037987835628909,-0.6602089535739502,-0.13085378216428933,-0.08892137085711671,-0.4627529316728147,-0.26506761482118574,-0.04365297172354432,-0.9016719897652432,-0.25990991089141746,0.43399109650650736,0.00905702415769205,-0.36306390548926015,0.30539388351361274,0.4289009190264568,-0.8151230768474239,-0.6978980340650893,-0.6737132281014111,0.0018102782329931788,-0.7102200130612943,-0.8593676425226897,-0.8947437561838241,-0.8588097317379899,-0.785415881482924,-0.7033081444277565,-0.8104195684217627,-0.5835901384341449,-0.8588896687708212,-0.8830714875802523,-0.9339223067314893,-0.8916960735214987,-0.2105863172324316,-0.7404364366881098,-0.6581513696915429,-0.9930338974910864,-0.9991508583867124,0.38612704664025355,-0.48976943996330574,-0.2105863172324316,-0.7404364366881098,-0.6581513696915429,-0.9930338974910864,-0.9991508583867124,0.38612704664025355,-0.48976943996330574,-0.02778225670174017,-0.15674203792532249,-3.914549212735707e-05,0.34734188412695044,-0.00041008298998079784,-0.26486801985712516,0.001142585215769376,-0.02778225670174017,-0.15674203792532249,-3.914549212735707e-05,0.34734188412695044,-0.00041008298998079784,-0.26486801985712516,0.001142585215769376
9,0.0614275044894903,0.11313177105081595,-0.4313319196591062,-0.5926085826810878,0.1449043420670374,-0.07057713411436231,0.034228780807409584,0.10383230302220359,0.26112982413198993,-0.21667713919579457,0.04784560202913113,0.2629622218093626,-0.3033181944946326,-0.637362523322805,0.11117038529803296,-0.3353964938372032,0.37139678878601995,0.2933938993835777,-0.006260198419171248,-0.09986761498205099,-0.4994884746139008,-0.6138296865112485,-0.8661470599103246,-0.8749021617160115,-0.6301951623104098,-0.8868455336779751,-0.16870594643639636,-0.12778717333998768,-0.5004723598736968,-0.7591750200579203,-0.9001990905312313,-0.857570598746312,-0.5305982012927547,-0.8343676073858137,-0.15291698814330446,-0.31400013611535804,-0.2840451695083228,-0.12279564787525372,0.06653971691507699,-0.8738065071789201,0.0020575259153229053,0.12012355590773346,0.20088127013265666,-0.7530376647696568,0.3602533320664578,0.022012597313628368,-0.36688427883785835,-0.18130627742786803,0.10843567280737076,-0.919494547117069,-0.057634678578983696,0.3946743075048371,0.16037987835628909,-0.6602089535739502,-0.13085378216428933,-0.08892137085711671,-0.5852725395646252,-0.6154471053347411,-0.6426887384661527,0.1272979520449833,-0.6460393271895097,-0.7620647224831264,-0.7806407027042978,-0.7298979353089888,-0.8151230768474239,-0.6978980340650893,-0.6737132281014111,0.0018102782329931788,-0.7102200130612943,-0.8593676425226897,-0.8947437561838241,-0.8588097317379899,-0.21380119640573644,-0.7445483960777963,-0.6548167557177768,-0.9938952285283911,-0.9953448700112657,0.3803970560996812,-0.4889107252347478,-0.2105863172324316,-0.7404364366881098,-0.6581513696915429,-0.9930338974910864,-0.9991508583867124,0.38612704664025355,-0.48976943996330574,-0.03681534635046334,-0.1698337314476825,0.016395334906555963,0.34584626521009576,0.012452679517008007,-0.27970290001510767,0.005530752793020895,-0.02778225670174017,-0.15674203792532249,-3.914549212735707e-05,0.34734188412695044,-0.00041008298998079784,-0.26486801985712516,0.001142585215769376
