time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.name,.position,.velocity,.effort
2022/11/28/21:03:20.166481,381,1669691000,165410041,,"['panda_joint1', 'panda_joint2', 'panda_joint3', 'panda_joint4', 'panda_joint5', 'panda_joint6', 'panda_joint7', 'panda_finger_joint1', 'panda_finger_joint2']","(0.5145604800000001, -0.89268192, -1.6137961, -2.0490186, -0.7712612600000002, 2.088422, -0.77415856, 0.04, 0.04)",(),()
2022/11/28/21:03:20.266430,382,1669691000,265399217,,"['panda_joint1', 'panda_joint2', 'panda_joint3', 'panda_joint4', 'panda_joint5', 'panda_joint6', 'panda_joint7', 'panda_finger_joint1', 'panda_finger_joint2']","(0.5145604800000001, -0.89268192, -1.6137961, -2.0490186, -0.7712612600000002, 2.088422, -0.77415856, 0.04, 0.04)",(),()
2022/11/28/21:03:20.366774,383,1669691000,365585565,,"['panda_joint1', 'panda_joint2', 'panda_joint3', 'panda_joint4', 'panda_joint5', 'panda_joint6', 'panda_joint7', 'panda_finger_joint1', 'panda_finger_joint2']","(0.5145604800000001, -0.89268192, -1.6137961, -2.0490186, -0.7712612600000002, 2.088422, -0.77415856, 0.04, 0.04)",(),()
2022/11/28/21:03:20.466469,384,1669691000,465472698,,"['panda_joint1', 'panda_joint2', 'panda_joint3', 'panda_joint4', 'panda_joint5', 'panda_joint6', 'panda_joint7', 'panda_finger_joint1', 'panda_finger_joint2']","(0.5145604800000001, -0.89268192, -1.6137961, -2.0490186, -0.7712612600000002, 2.088422, -0.77415856, 0.04, 0.04)",(),()
2022/11/28/21:03:20.566353,385,1669691000,565426588,,"['panda_joint1', 'panda_joint2', 'panda_joint3', 'panda_joint4', 'panda_joint5', 'panda_joint6', 'panda_joint7', 'panda_finger_joint1', 'panda_finger_joint2']","(0.5139810200000001, -0.892681715402816, -1.6137930221580394, -2.049017687728318, -0.77125978900219, 2.087668, -0.77415708363611, 0.04, 0.04)",(),()
2022/11/28/21:03:20.666379,386,1669691000,665426969,,"['panda_joint1', 'panda_joint2', 'panda_joint3', 'panda_joint4', 'panda_joint5', 'panda_joint6', 'panda_joint7', 'panda_finger_joint1', 'panda_finger_joint2']","(0.5105042599999998, -0.8919768, -1.60278636, -2.0457164, -0.7660461199999999, 2.080882, -0.7689434199999998, 0.04, 0.04)",(),()
2022/11/28/21:03:20.766368,387,1669691000,765467166,,"['panda_joint1', 'panda_joint2', 'panda_joint3', 'panda_joint4', 'panda_joint5', 'panda_joint6', 'panda_joint7', 'panda_finger_joint1', 'panda_finger_joint2']","(0.5070275, -0.8912716799999999, -1.59119716, -2.0424142, -0.7608309799999997, 2.073342, -0.76372828, 0.04, 0.04)",(),()
2022/11/28/21:03:20.866345,388,1669691000,865348339,,"['panda_joint1', 'panda_joint2', 'panda_joint3', 'panda_joint4', 'panda_joint5', 'panda_joint6', 'panda_joint7', 'panda_finger_joint1', 'panda_finger_joint2']","(0.5035507399999997, -0.8905665599999999, -1.5796079600000001, -2.0391120000000003, -0.75503638, 2.066179, -0.7579336800000003, 0.04, 0.04)",(),()
2022/11/28/21:03:20.966256,389,1669691000,965353250,,"['panda_joint1', 'panda_joint2', 'panda_joint3', 'panda_joint4', 'panda_joint5', 'panda_joint6', 'panda_joint7', 'panda_finger_joint1', 'panda_finger_joint2']","(0.4994945200000003, -0.88986144, -1.56859822, -2.0355096, -0.7498212400000002, 2.058639, -0.75271854, 0.04, 0.04)",(),()
2022/11/28/21:03:21.066454,390,1669691001,65460443,,"['panda_joint1', 'panda_joint2', 'panda_joint3', 'panda_joint4', 'panda_joint5', 'panda_joint6', 'panda_joint7', 'panda_finger_joint1', 'panda_finger_joint2']","(0.49601776, -0.88915632, -1.55700902, -2.0322074, -0.74402664, 2.0514759999999996, -0.7469239400000003, 0.04, 0.04)",(),()
2022/11/28/21:03:21.166501,391,1669691001,165392637,,"['panda_joint1', 'panda_joint2', 'panda_joint3', 'panda_joint4', 'panda_joint5', 'panda_joint6', 'panda_joint7', 'panda_finger_joint1', 'panda_finger_joint2']","(0.4925409999999997, -0.8884512, -1.54541982, -2.0289052, -0.7388115000000002, 2.043936, -0.7417088000000001, 0.04, 0.04)",(),()
2022/11/28/21:03:21.266478,392,1669691001,265338897,,"['panda_joint1', 'panda_joint2', 'panda_joint3', 'panda_joint4', 'panda_joint5', 'panda_joint6', 'panda_joint7', 'panda_finger_joint1', 'panda_finger_joint2']","(0.48906424000000026, -0.8873935199999999, -1.53441008, -2.0256030000000003, -0.73359636, 2.036773, -0.7359141999999999, 0.04, 0.04)",(),()
2022/11/28/21:03:21.366574,393,1669691001,365442752,,"['panda_joint1', 'panda_joint2', 'panda_joint3', 'panda_joint4', 'panda_joint5', 'panda_joint6', 'panda_joint7', 'panda_finger_joint1', 'panda_finger_joint2']","(0.48500802, -0.8866883999999999, -1.52282088, -2.0220006, -0.7278017599999997, 2.029233, -0.7306990600000001, 0.04, 0.04)",(),()
2022/11/28/21:03:21.466481,394,1669691001,465441703,,"['panda_joint1', 'panda_joint2', 'panda_joint3', 'panda_joint4', 'panda_joint5', 'panda_joint6', 'panda_joint7', 'panda_finger_joint1', 'panda_finger_joint2']","(0.4809517999999997, -0.8859832799999999, -1.5094933000000001, -2.018098, -0.7214277, 2.020939, -0.7243249999999999, 0.04, 0.04)",(),()
2022/11/28/21:03:21.566604,395,1669691001,565429925,,"['panda_joint1', 'panda_joint2', 'panda_joint3', 'panda_joint4', 'panda_joint5', 'panda_joint6', 'panda_joint7', 'panda_finger_joint1', 'panda_finger_joint2']","(0.47399828, -0.88457304, -1.48805328, -2.0117938, -0.71099742, 2.00699, -0.7138947199999999, 0.04, 0.04)",(),()
2022/11/28/21:03:21.666393,396,1669691001,665368318,,"['panda_joint1', 'panda_joint2', 'panda_joint3', 'panda_joint4', 'panda_joint5', 'panda_joint6', 'panda_joint7', 'panda_finger_joint1', 'panda_finger_joint2']","(0.46704475999999984, -0.8831627999999999, -1.4660338, -2.0051894, -0.70056714, 1.992664, -0.7034644399999999, 0.04, 0.04)",(),()
2022/11/28/21:03:21.766421,397,1669691001,765353679,,"['panda_joint1', 'panda_joint2', 'panda_joint3', 'panda_joint4', 'panda_joint5', 'panda_joint6', 'panda_joint7', 'panda_finger_joint1', 'panda_finger_joint2']","(0.4600912400000001, -0.8817525599999999, -1.4445937800000002, -1.9988852, -0.6907163199999999, 1.9787149999999998, -0.6930341599999998, 0.04, 0.04)",(),()
2022/11/28/21:03:21.865992,398,1669691001,865392684,,"['panda_joint1', 'panda_joint2', 'panda_joint3', 'panda_joint4', 'panda_joint5', 'panda_joint6', 'panda_joint7', 'panda_finger_joint1', 'panda_finger_joint2']","(0.4531377200000004, -0.87998976, -1.4225743, -1.9925810000000002, -0.6802860399999999, 1.964766, -0.6826038800000003, 0.04, 0.04)",(),()
2022/11/28/21:03:21.966409,399,1669691001,965348958,,"['panda_joint1', 'panda_joint2', 'panda_joint3', 'panda_joint4', 'panda_joint5', 'panda_joint6', 'panda_joint7', 'panda_finger_joint1', 'panda_finger_joint2']","(0.4461841999999998, -0.8785795199999998, -1.4011342800000002, -1.9859765999999999, -0.6698557599999999, 1.950817, -0.6721735999999998, 0.04, 0.04)",(),()
2022/11/28/21:03:22.066330,400,1669691002,65441608,,"['panda_joint1', 'panda_joint2', 'panda_joint3', 'panda_joint4', 'panda_joint5', 'panda_joint6', 'panda_joint7', 'panda_finger_joint1', 'panda_finger_joint2']","(0.43923067999999965, -0.87716928, -1.3791148, -1.9796723999999999, -0.6594254799999999, 1.936491, -0.6617433200000002, 0.04, 0.04)",(),()
2022/11/28/21:03:22.166357,401,1669691002,165344953,,"['panda_joint1', 'panda_joint2', 'panda_joint3', 'panda_joint4', 'panda_joint5', 'panda_joint6', 'panda_joint7', 'panda_finger_joint1', 'panda_finger_joint2']","(0.43227715999999994, -0.87575904, -1.35767478, -1.973068, -0.6489951999999999, 1.9225419999999998, -0.6513130399999998, 0.04, 0.04)",(),()
2022/11/28/21:03:22.266583,402,1669691002,265449762,,"['panda_joint1', 'panda_joint2', 'panda_joint3', 'panda_joint4', 'panda_joint5', 'panda_joint6', 'panda_joint7', 'panda_finger_joint1', 'panda_finger_joint2']","(0.4253236400000002, -0.8743487999999999, -1.3356553, -1.9667638, -0.6385649200000003, 1.908593, -0.6408827599999998, 0.04, 0.04)",(),()
2022/11/28/21:03:22.366700,403,1669691002,365587949,,"['panda_joint1', 'panda_joint2', 'panda_joint3', 'panda_joint4', 'panda_joint5', 'panda_joint6', 'panda_joint7', 'panda_finger_joint1', 'panda_finger_joint2']","(0.41837012000000007, -0.8729385599999999, -1.31363582, -1.9601594, -0.6281346399999999, 1.8946439999999998, -0.6304524800000002, 0.04, 0.04)",(),()
2022/11/28/21:03:22.466323,404,1669691002,465341806,,"['panda_joint1', 'panda_joint2', 'panda_joint3', 'panda_joint4', 'panda_joint5', 'panda_joint6', 'panda_joint7', 'panda_finger_joint1', 'panda_finger_joint2']","(0.4114165999999999, -0.8715283199999999, -1.2921957999999998, -1.9538552, -0.6177043599999998, 1.8806949999999998, -0.6200221999999997, 0.04, 0.04)",(),()
2022/11/28/21:03:22.566432,405,1669691002,565444707,,"['panda_joint1', 'panda_joint2', 'panda_joint3', 'panda_joint4', 'panda_joint5', 'panda_joint6', 'panda_joint7', 'panda_finger_joint1', 'panda_finger_joint2']","(0.40446307999999975, -0.87011808, -1.27017632, -1.9472508, -0.6072740799999998, 1.866369, -0.6095919200000002, 0.04, 0.04)",(),()
2022/11/28/21:03:22.666613,406,1669691002,665551662,,"['panda_joint1', 'panda_joint2', 'panda_joint3', 'panda_joint4', 'panda_joint5', 'panda_joint6', 'panda_joint7', 'panda_finger_joint1', 'panda_finger_joint2']","(0.39750956000000004, -0.86870784, -1.2487363000000002, -1.9409466, -0.5968437999999998, 1.85242, -0.5991616400000002, 0.04, 0.04)",(),()
2022/11/28/21:03:22.766376,407,1669691002,765361547,,"['panda_joint1', 'panda_joint2', 'panda_joint3', 'panda_joint4', 'panda_joint5', 'panda_joint6', 'panda_joint7', 'panda_finger_joint1', 'panda_finger_joint2']","(0.3905560399999999, -0.8672976, -1.22671682, -1.9343422, -0.5864135200000002, 1.838471, -0.5887313600000001, 0.04, 0.04)",(),()
2022/11/28/21:03:22.866601,408,1669691002,865510940,,"['panda_joint1', 'panda_joint2', 'panda_joint3', 'panda_joint4', 'panda_joint5', 'panda_joint6', 'panda_joint7', 'panda_finger_joint1', 'panda_finger_joint2']","(0.38360252000000017, -0.8655347999999999, -1.2052768, -1.928038, -0.5759832399999998, 1.8245219999999998, -0.5783010800000001, 0.04, 0.04)",(),()
2022/11/28/21:03:22.966458,409,1669691002,965420722,,"['panda_joint1', 'panda_joint2', 'panda_joint3', 'panda_joint4', 'panda_joint5', 'panda_joint6', 'panda_joint7', 'panda_finger_joint1', 'panda_finger_joint2']","(0.37722846000000043, -0.8641245599999999, -1.18325732, -1.9214336, -0.5655529600000002, 1.810196, -0.5678707999999997, 0.04, 0.04)",(),()
2022/11/28/21:03:23.066432,410,1669691003,65409421,,"['panda_joint1', 'panda_joint2', 'panda_joint3', 'panda_joint4', 'panda_joint5', 'panda_joint6', 'panda_joint7', 'panda_finger_joint1', 'panda_finger_joint2']","(0.37027493999999983, -0.8627143199999998, -1.1618173, -1.9151294, -0.5551226799999998, 1.7962470000000001, -0.5574405200000001, 0.04, 0.04)",(),()
2022/11/28/21:03:23.166879,411,1669691003,165590047,,"['panda_joint1', 'panda_joint2', 'panda_joint3', 'panda_joint4', 'panda_joint5', 'panda_joint6', 'panda_joint7', 'panda_finger_joint1', 'panda_finger_joint2']","(0.3633214199999997, -0.86130408, -1.1397978199999999, -1.908525, -0.5446923999999997, 1.782298, -0.5470102400000001, 0.04, 0.04)",(),()
2022/11/28/21:03:23.266413,412,1669691003,265361547,,"['panda_joint1', 'panda_joint2', 'panda_joint3', 'panda_joint4', 'panda_joint5', 'panda_joint6', 'panda_joint7', 'panda_finger_joint1', 'panda_finger_joint2']","(0.35636789999999996, -0.85989384, -1.1183578, -1.9022208, -0.5342621200000002, 1.768349, -0.5365799600000001, 0.04, 0.04)",(),()
2022/11/28/21:03:23.366497,413,1669691003,365423440,,"['panda_joint1', 'panda_joint2', 'panda_joint3', 'panda_joint4', 'panda_joint5', 'panda_joint6', 'panda_joint7', 'panda_finger_joint1', 'panda_finger_joint2']","(0.34941438000000025, -0.8584835999999999, -1.0963383199999999, -1.8956164, -0.5244113000000001, 1.7543999999999997, -0.5261496800000001, 0.04, 0.04)",(),()
2022/11/28/21:03:23.466594,414,1669691003,465465068,,"['panda_joint1', 'panda_joint2', 'panda_joint3', 'panda_joint4', 'panda_joint5', 'panda_joint6', 'panda_joint7', 'panda_finger_joint1', 'panda_finger_joint2']","(0.3424608600000001, -0.8570733599999999, -1.0748983, -1.8893122, -0.5139810200000001, 1.740074, -0.5157194, 0.04, 0.04)",(),()
2022/11/28/21:03:23.566408,415,1669691003,565383672,,"['panda_joint1', 'panda_joint2', 'panda_joint3', 'panda_joint4', 'panda_joint5', 'panda_joint6', 'panda_joint7', 'panda_finger_joint1', 'panda_finger_joint2']","(0.33550733999999993, -0.8556631200000001, -1.0528788199999999, -1.8827078, -0.5035507399999997, 1.7261250000000001, -0.50528912, 0.04, 0.04)",(),()
2022/11/28/21:03:23.666241,416,1669691003,665369033,,"['panda_joint1', 'panda_joint2', 'panda_joint3', 'panda_joint4', 'panda_joint5', 'panda_joint6', 'panda_joint7', 'panda_finger_joint1', 'panda_finger_joint2']","(0.3285538199999998, -0.85425288, -1.0314387999999999, -1.8764036, -0.4931204600000001, 1.712176, -0.49485884, 0.04, 0.04)",(),()
2022/11/28/21:03:23.766733,417,1669691003,765545129,,"['panda_joint1', 'panda_joint2', 'panda_joint3', 'panda_joint4', 'panda_joint5', 'panda_joint6', 'panda_joint7', 'panda_finger_joint1', 'panda_finger_joint2']","(0.32160030000000006, -0.85249008, -1.0094193200000001, -1.8697992, -0.4826901800000001, 1.698227, -0.48442856, 0.04, 0.04)",(),()
2022/11/28/21:03:23.866433,418,1669691003,865437746,,"['panda_joint1', 'panda_joint2', 'panda_joint3', 'panda_joint4', 'panda_joint5', 'panda_joint6', 'panda_joint7', 'panda_finger_joint1', 'panda_finger_joint2']","(0.3146467799999999, -0.8510798399999999, -0.9873998399999999, -1.863495, -0.47225990000000007, 1.6839009999999999, -0.47399828, 0.04, 0.04)",(),()
2022/11/28/21:03:23.966467,419,1669691003,965391635,,"['panda_joint1', 'panda_joint2', 'panda_joint3', 'panda_joint4', 'panda_joint5', 'panda_joint6', 'panda_joint7', 'panda_finger_joint1', 'panda_finger_joint2']","(0.3076932600000002, -0.8496695999999999, -0.9659598200000001, -1.8571908, -0.46182962000000005, 1.6699519999999999, -0.463568, 0.04, 0.04)",(),()
2022/11/28/21:03:24.066368,420,1669691004,65374374,,"['panda_joint1', 'panda_joint2', 'panda_joint3', 'panda_joint4', 'panda_joint5', 'panda_joint6', 'panda_joint7', 'panda_finger_joint1', 'panda_finger_joint2']","(0.3007397399999996, -0.8482593599999999, -0.9439403399999999, -1.8505864, -0.45139934000000004, 1.656003, -0.45313771999999997, 0.04, 0.04)",(),()
2022/11/28/21:03:24.166484,421,1669691004,165469169,,"['panda_joint1', 'panda_joint2', 'panda_joint3', 'panda_joint4', 'panda_joint5', 'panda_joint6', 'panda_joint7', 'panda_finger_joint1', 'panda_finger_joint2']","(0.2937862199999999, -0.84684912, -0.9225003200000002, -1.8442822, -0.44096906, 1.642054, -0.44270743999999995, 0.04, 0.04)",(),()
2022/11/28/21:03:24.266435,422,1669691004,265390872,,"['panda_joint1', 'panda_joint2', 'panda_joint3', 'panda_joint4', 'panda_joint5', 'panda_joint6', 'panda_joint7', 'panda_finger_joint1', 'panda_finger_joint2']","(0.2868326999999997, -0.84543888, -0.90048084, -1.8376778, -0.43053878, 1.628105, -0.43227715999999994, 0.04, 0.04)",(),()
2022/11/28/21:03:24.366379,423,1669691004,365414857,,"['panda_joint1', 'panda_joint2', 'panda_joint3', 'panda_joint4', 'panda_joint5', 'panda_joint6', 'panda_joint7', 'panda_finger_joint1', 'panda_finger_joint2']","(0.27987918, -0.84402864, -0.8790408200000002, -1.8313736, -0.4201085, 1.6137789999999999, -0.4218468799999999, 0.04, 0.04)",(),()
2022/11/28/21:03:24.466395,424,1669691004,465437650,,"['panda_joint1', 'panda_joint2', 'panda_joint3', 'panda_joint4', 'panda_joint5', 'panda_joint6', 'panda_joint7', 'panda_finger_joint1', 'panda_finger_joint2']","(0.2729256600000003, -0.8426183999999999, -0.8570213399999997, -1.8247692, -0.40967822, 1.5998299999999999, -0.4114165999999999, 0.04, 0.04)",(),()
2022/11/28/21:03:24.566493,425,1669691004,565374135,,"['panda_joint1', 'panda_joint2', 'panda_joint3', 'panda_joint4', 'panda_joint5', 'panda_joint6', 'panda_joint7', 'panda_finger_joint1', 'panda_finger_joint2']","(0.26597214000000013, -0.8412081599999999, -0.8355813200000002, -1.818465, -0.39924793999999997, 1.5858809999999999, -0.4009863199999999, 0.04, 0.04)",(),()
2022/11/28/21:03:24.666466,426,1669691004,665392637,,"['panda_joint1', 'panda_joint2', 'panda_joint3', 'panda_joint4', 'panda_joint5', 'panda_joint6', 'panda_joint7', 'panda_finger_joint1', 'panda_finger_joint2']","(0.25901862, -0.8397979200000001, -0.8135618400000002, -1.8118606, -0.38881765999999995, 1.5719319999999999, -0.3905560399999999, 0.04, 0.04)",(),()
2022/11/28/21:03:24.766310,427,1669691004,765424966,,"['panda_joint1', 'panda_joint2', 'panda_joint3', 'panda_joint4', 'panda_joint5', 'panda_joint6', 'panda_joint7', 'panda_finger_joint1', 'panda_finger_joint2']","(0.2520650999999998, -0.83803512, -0.7921218199999998, -1.8055564, -0.37838737999999994, 1.557606, -0.38012575999999987, 0.04, 0.04)",(),()
2022/11/28/21:03:24.866392,428,1669691004,865427017,,"['panda_joint1', 'panda_joint2', 'panda_joint3', 'panda_joint4', 'panda_joint5', 'panda_joint6', 'panda_joint7', 'panda_finger_joint1', 'panda_finger_joint2']","(0.2451115800000001, -0.83662488, -0.7701023400000002, -1.798952, -0.3679570999999999, 1.543657, -0.3696954800000003, 0.04, 0.04)",(),()
2022/11/28/21:03:24.967055,429,1669691004,965400934,,"['panda_joint1', 'panda_joint2', 'panda_joint3', 'panda_joint4', 'panda_joint5', 'panda_joint6', 'panda_joint7', 'panda_finger_joint1', 'panda_finger_joint2']","(0.23815805999999995, -0.83521464, -0.7486623199999998, -1.7926478000000001, -0.35810628000000033, 1.5297079999999998, -0.35926519999999984, 0.04, 0.04)",(),()
2022/11/28/21:03:25.066455,430,1669691005,65455436,,"['panda_joint1', 'panda_joint2', 'panda_joint3', 'panda_joint4', 'panda_joint5', 'panda_joint6', 'panda_joint7', 'panda_finger_joint1', 'panda_finger_joint2']","(0.23120454000000024, -0.8338043999999999, -0.7266428400000002, -1.7860434, -0.3476759999999999, 1.5157589999999999, -0.3488349199999998, 0.04, 0.04)",(),()
2022/11/28/21:03:25.166475,431,1669691005,165497303,,"['panda_joint1', 'panda_joint2', 'panda_joint3', 'panda_joint4', 'panda_joint5', 'panda_joint6', 'panda_joint7', 'panda_finger_joint1', 'panda_finger_joint2']","(0.22425101999999963, -0.8323941599999999, -0.7046233599999998, -1.7797392, -0.33724571999999986, 1.50181, -0.33840464000000026, 0.04, 0.04)",(),()
2022/11/28/21:03:25.266403,432,1669691005,265426397,,"['panda_joint1', 'panda_joint2', 'panda_joint3', 'panda_joint4', 'panda_joint5', 'panda_joint6', 'panda_joint7', 'panda_finger_joint1', 'panda_finger_joint2']","(0.21729749999999992, -0.83098392, -0.6831833399999998, -1.7731348, -0.32681543999999985, 1.487484, -0.3279743599999998, 0.04, 0.04)",(),()
